round,accuracy,detection_rate,false_positive_rate
1,0.9520727750027345,0.8997551377042134,0.010561592584301099
2,0.9543150909687534,0.8994510330426135,0.00682187373138987
3,0.9585991905786269,0.9096928838173197,0.006614428905287746
4,0.9587632624785796,0.9149344133621745,0.009938877315272238
5,0.9596383126116601,0.9131859231365823,0.007532334255074992
6,0.9603857512669997,0.9133638523078201,0.006378906194476529
7,0.9612972618222919,0.9160962882553467,0.006551800555517784
8,0.961169650344551,0.9162917217549389,0.006783434164558587
9,0.9609508878112809,0.9136688095212628,0.005633025129476256
10,0.961516024355562,0.9173637137814095,0.00688156614226779
11,0.9610055784445983,0.914987033703015,0.006274090326327633
12,0.9625004557552777,0.9183331919434302,0.006084219406197128
13,0.9610055784445984,0.9148100190945544,0.0061506223397362544
14,0.9628468297662887,0.9182473192185813,0.005427702069726224
15,0.9612061107667627,0.9150285402583114,0.0059634348432583565
16,0.9626645276552303,0.9181757215165869,0.005563822498993591
17,0.9626462974441243,0.9185270609983611,0.005844660351326187
18,0.9621176213220549,0.9154961958112411,0.004858624981248531
19,0.9625551463885952,0.917800114462747,0.005412465026191193
20,0.9630109016662413,0.9178234284734792,0.004722281544000448
