Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 9, 'learning_rate': 0.20211525651495557, 'n_estimators': 900, 'min_child_weight': 1, 'gamma': 0.0011375210935630209, 'subsample': 0.8669667098532958, 'colsample_bytree': 0.9319591927218307, 'max_delta_step': 8}
Optimal Threshold: 0.2300
Accuracy: 0.9530754366
Detection Rate: 0.8929649123
False Positive Rate: 0.0041679666

--- Per-Round Attention Weights ---
Round 1: α = [0.05946318173238164, 0.05946318173238164, 0.05946318173238164, 0.05946318173238164, 0.05946318173238164, 0.05946318173238164, 0.05946318173238164, 0.12328995490324676, 0.05946318173238164, 0.13397276842784528, 0.12938797973756966, 0.1376438430722851]
  Client 0: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 1: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 2: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 3: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 4: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 5: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 6: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 7: DR=0.7774, FPR=0.0620, Score=0.7292
  Client 8: DR=1.0000, FPR=1.0000, Score=0.0000
  Client 9: DR=0.8125, FPR=0.0003, Score=0.8123
  Client 10: DR=0.7879, FPR=0.0132, Score=0.7775
  Client 11: DR=0.8400, FPR=0.0008, Score=0.8393
Round 2: α = [0.08336804360868807, 0.08336804360868807, 0.08336804360868807, 0.08336804360868807, 0.08336804360868807, 0.08336804360868807, 0.08336804360868807, 0.08344514117587257, 0.08336804360868807, 0.08307652180949106, 0.08317658645457873, 0.08335740169055293]
  Client 0: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 1: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 2: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 3: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 4: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 5: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 6: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 7: DR=0.8359, FPR=0.0028, Score=0.8336
  Client 8: DR=0.8337, FPR=0.0013, Score=0.8327
  Client 9: DR=0.8294, FPR=0.0003, Score=0.8292
  Client 10: DR=0.8311, FPR=0.0008, Score=0.8304
  Client 11: DR=0.8328, FPR=0.0003, Score=0.8326
Round 3: α = [0.08322837615274824, 0.08322837615274824, 0.08322837615274824, 0.08322837615274824, 0.08322837615274824, 0.08322837615274824, 0.08322837615274824, 0.08324101767641744, 0.08322837615274824, 0.0836595749309608, 0.08336604172459662, 0.08390635644603918]
  Client 0: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 1: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 2: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 3: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 4: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 5: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 6: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 7: DR=0.8348, FPR=0.0005, Score=0.8344
  Client 8: DR=0.8346, FPR=0.0004, Score=0.8343
  Client 9: DR=0.8397, FPR=0.0003, Score=0.8394
  Client 10: DR=0.8362, FPR=0.0004, Score=0.8359
  Client 11: DR=0.8426, FPR=0.0003, Score=0.8424
Round 4: α = [0.08320716902309934, 0.08320716902309934, 0.08320716902309934, 0.08320716902309934, 0.08320716902309934, 0.08320716902309934, 0.08320716902309934, 0.08324723026146517, 0.08320716902309934, 0.08398000645624516, 0.08367166081627511, 0.0834437502812199]
  Client 0: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 1: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 2: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 3: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 4: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 5: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 6: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 7: DR=0.8495, FPR=0.0007, Score=0.8489
  Client 8: DR=0.8488, FPR=0.0004, Score=0.8485
  Client 9: DR=0.8583, FPR=0.0007, Score=0.8577
  Client 10: DR=0.8543, FPR=0.0004, Score=0.8540
  Client 11: DR=0.8516, FPR=0.0003, Score=0.8513
Round 5: α = [0.0833172072245063, 0.0833172072245063, 0.0833172072245063, 0.0833172072245063, 0.0833172072245063, 0.0833172072245063, 0.0833172072245063, 0.0834348706062398, 0.0833172072245063, 0.08321380911570848, 0.0836313555089422, 0.0831823069730591]
  Client 0: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 1: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 2: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 3: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 4: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 5: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 6: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 7: DR=0.8622, FPR=0.0008, Score=0.8615
  Client 8: DR=0.8607, FPR=0.0007, Score=0.8601
  Client 9: DR=0.8594, FPR=0.0007, Score=0.8589
  Client 10: DR=0.8645, FPR=0.0007, Score=0.8639
  Client 11: DR=0.8590, FPR=0.0006, Score=0.8585
Round 6: α = [0.0833248080506337, 0.0833248080506337, 0.0833248080506337, 0.0833248080506337, 0.0833248080506337, 0.0833248080506337, 0.0833248080506337, 0.08344209080171436, 0.0833248080506337, 0.08321126237491415, 0.08349934234945827, 0.08324884006884353]
  Client 0: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 1: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 2: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 3: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 4: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 5: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 6: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 7: DR=0.8665, FPR=0.0005, Score=0.8660
  Client 8: DR=0.8650, FPR=0.0004, Score=0.8646
  Client 9: DR=0.8637, FPR=0.0005, Score=0.8632
  Client 10: DR=0.8671, FPR=0.0005, Score=0.8667
  Client 11: DR=0.8642, FPR=0.0006, Score=0.8637
Round 7: α = [0.08330761014556304, 0.08330761014556304, 0.08330761014556304, 0.08330761014556304, 0.08330761014556304, 0.08330761014556304, 0.08330761014556304, 0.08335923281539911, 0.08330761014556304, 0.08345477076532946, 0.08345574656378749, 0.08326936869097959]
  Client 0: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 1: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 2: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 3: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 4: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 5: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 6: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 7: DR=0.8689, FPR=0.0006, Score=0.8683
  Client 8: DR=0.8682, FPR=0.0005, Score=0.8677
  Client 9: DR=0.8700, FPR=0.0005, Score=0.8695
  Client 10: DR=0.8701, FPR=0.0007, Score=0.8695
  Client 11: DR=0.8678, FPR=0.0006, Score=0.8673
Round 8: α = [0.08332618993059188, 0.08332618993059188, 0.08332618993059188, 0.08332618993059188, 0.08332618993059188, 0.08332618993059188, 0.08332618993059188, 0.08335445553106777, 0.08327039198043981, 0.08332618993059188, 0.08345602353860936, 0.0833096095051481]
  Client 0: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 1: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 2: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 3: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 4: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 5: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 6: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 7: DR=0.8727, FPR=0.0009, Score=0.8719
  Client 8: DR=0.8716, FPR=0.0008, Score=0.8709
  Client 9: DR=0.8721, FPR=0.0006, Score=0.8715
  Client 10: DR=0.8737, FPR=0.0007, Score=0.8731
  Client 11: DR=0.8717, FPR=0.0005, Score=0.8713
Round 9: α = [0.08330625686823638, 0.08330625686823638, 0.08330625686823638, 0.08330625686823638, 0.08330625686823638, 0.08330625686823638, 0.08330625686823638, 0.08338595573885309, 0.08330625686823638, 0.08326758330123335, 0.08350100374464907, 0.08339540226937345]
  Client 0: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 1: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 2: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 3: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 4: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 5: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 6: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 7: DR=0.8754, FPR=0.0011, Score=0.8745
  Client 8: DR=0.8741, FPR=0.0007, Score=0.8735
  Client 9: DR=0.8737, FPR=0.0007, Score=0.8730
  Client 10: DR=0.8768, FPR=0.0011, Score=0.8758
  Client 11: DR=0.8750, FPR=0.0004, Score=0.8746
Round 10: α = [0.08332034319235293, 0.08332034319235293, 0.08332034319235293, 0.08332034319235293, 0.08332034319235293, 0.08332034319235293, 0.08332034319235293, 0.0833813445597987, 0.08327859112708973, 0.08332034319235293, 0.08346981008655796, 0.08330750868773028]
  Client 0: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 1: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 2: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 3: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 4: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 5: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 6: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 7: DR=0.8769, FPR=0.0011, Score=0.8760
  Client 8: DR=0.8756, FPR=0.0010, Score=0.8748
  Client 9: DR=0.8762, FPR=0.0010, Score=0.8753
  Client 10: DR=0.8780, FPR=0.0011, Score=0.8771
  Client 11: DR=0.8757, FPR=0.0007, Score=0.8751
Round 11: α = [0.08332414100514879, 0.08332414100514879, 0.08332414100514879, 0.08332414100514879, 0.08332414100514879, 0.08332414100514879, 0.08332414100514879, 0.08335175573882236, 0.08323833074074008, 0.08332414100514879, 0.08352304498158213, 0.0832937404976651]
  Client 0: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 1: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 2: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 3: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 4: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 5: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 6: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 7: DR=0.8772, FPR=0.0011, Score=0.8762
  Client 8: DR=0.8757, FPR=0.0010, Score=0.8748
  Client 9: DR=0.8768, FPR=0.0011, Score=0.8759
  Client 10: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 11: DR=0.8764, FPR=0.0010, Score=0.8755
Round 12: α = [0.08332908876057733, 0.08332908876057733, 0.08332908876057733, 0.08332908876057733, 0.08332908876057733, 0.08332908876057733, 0.08332908876057733, 0.08342018220838103, 0.08332908876057733, 0.08320504521804332, 0.08349861298149445, 0.08324344950746257]
  Client 0: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 1: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 2: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 3: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 4: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 5: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 6: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 7: DR=0.8785, FPR=0.0011, Score=0.8775
  Client 8: DR=0.8774, FPR=0.0011, Score=0.8764
  Client 9: DR=0.8758, FPR=0.0010, Score=0.8749
  Client 10: DR=0.8798, FPR=0.0015, Score=0.8785
  Client 11: DR=0.8763, FPR=0.0011, Score=0.8754
Round 13: α = [0.08331249750510061, 0.08331249750510061, 0.08331249750510061, 0.08331249750510061, 0.08331249750510061, 0.08331249750510061, 0.08331249750510061, 0.08340893438470356, 0.08331249750510061, 0.08317540003935207, 0.08358332961885775, 0.08333235591628166]
  Client 0: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 1: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 2: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 3: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 4: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 5: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 6: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 7: DR=0.8786, FPR=0.0005, Score=0.8781
  Client 8: DR=0.8774, FPR=0.0005, Score=0.8769
  Client 9: DR=0.8762, FPR=0.0011, Score=0.8753
  Client 10: DR=0.8815, FPR=0.0015, Score=0.8802
  Client 11: DR=0.8776, FPR=0.0005, Score=0.8772
Round 14: α = [0.08330921531237999, 0.08330921531237999, 0.08330921531237999, 0.08330921531237999, 0.08330921531237999, 0.08330921531237999, 0.08330921531237999, 0.08341473092847498, 0.08330921531237999, 0.08326981607776653, 0.08364217165205243, 0.08319955884266618]
  Client 0: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 1: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 2: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 3: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 4: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 5: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 6: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 7: DR=0.8806, FPR=0.0011, Score=0.8796
  Client 8: DR=0.8793, FPR=0.0011, Score=0.8783
  Client 9: DR=0.8788, FPR=0.0011, Score=0.8779
  Client 10: DR=0.8833, FPR=0.0011, Score=0.8823
  Client 11: DR=0.8779, FPR=0.0011, Score=0.8770
Round 15: α = [0.08333096219840748, 0.08333096219840748, 0.08333096219840748, 0.08333096219840748, 0.08333096219840748, 0.08333096219840748, 0.08333096219840748, 0.08335458019388702, 0.08324709374770266, 0.08333096219840748, 0.08356563091140143, 0.0831849975597492]
  Client 0: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 1: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 2: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 3: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 4: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 5: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 6: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 7: DR=0.8812, FPR=0.0011, Score=0.8802
  Client 8: DR=0.8799, FPR=0.0011, Score=0.8790
  Client 9: DR=0.8809, FPR=0.0011, Score=0.8800
  Client 10: DR=0.8841, FPR=0.0015, Score=0.8828
  Client 11: DR=0.8791, FPR=0.0011, Score=0.8782
Round 16: α = [0.0833226918850172, 0.0833226918850172, 0.0833226918850172, 0.0833226918850172, 0.0833226918850172, 0.0833226918850172, 0.0833226918850172, 0.08342025024516557, 0.0833226918850172, 0.08322645605835674, 0.08351876840032565, 0.08325299021601457]
  Client 0: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 1: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 2: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 3: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 4: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 5: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 6: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 7: DR=0.8825, FPR=0.0014, Score=0.8812
  Client 8: DR=0.8813, FPR=0.0014, Score=0.8800
  Client 9: DR=0.8798, FPR=0.0011, Score=0.8789
  Client 10: DR=0.8837, FPR=0.0015, Score=0.8824
  Client 11: DR=0.8804, FPR=0.0014, Score=0.8792
Round 17: α = [0.08331749895943699, 0.08331749895943699, 0.08331749895943699, 0.08331749895943699, 0.08331749895943699, 0.08331749895943699, 0.08331749895943699, 0.08341559707091384, 0.08331749895943699, 0.08324674764297213, 0.08356044573839136, 0.08323721787222679]
  Client 0: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 1: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 2: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 3: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 4: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 5: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 6: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 7: DR=0.8824, FPR=0.0011, Score=0.8815
  Client 8: DR=0.8812, FPR=0.0011, Score=0.8803
  Client 9: DR=0.8804, FPR=0.0010, Score=0.8794
  Client 10: DR=0.8845, FPR=0.0014, Score=0.8832
  Client 11: DR=0.8805, FPR=0.0014, Score=0.8793
Round 18: α = [0.08331550599769684, 0.08331550599769684, 0.08331550599769684, 0.08331550599769684, 0.08331550599769684, 0.08331550599769684, 0.08331550599769684, 0.0834188770481824, 0.08331550599769684, 0.08321171956285303, 0.08357500440109297, 0.0832703510062969]
  Client 0: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 1: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 2: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 3: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 4: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 5: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 6: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 7: DR=0.8833, FPR=0.0014, Score=0.8820
  Client 8: DR=0.8820, FPR=0.0014, Score=0.8808
  Client 9: DR=0.8804, FPR=0.0010, Score=0.8795
  Client 10: DR=0.8854, FPR=0.0017, Score=0.8839
  Client 11: DR=0.8812, FPR=0.0011, Score=0.8802
Round 19: α = [0.0833568443301151, 0.0833568443301151, 0.0833568443301151, 0.0833568443301151, 0.0833568443301151, 0.0833568443301151, 0.0833568443301151, 0.08337441404659433, 0.0833568443301151, 0.08314000675451663, 0.08348563923398879, 0.08314518532397948]
  Client 0: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 1: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 2: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 3: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 4: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 5: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 6: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 7: DR=0.8837, FPR=0.0011, Score=0.8827
  Client 8: DR=0.8834, FPR=0.0011, Score=0.8825
  Client 9: DR=0.8808, FPR=0.0011, Score=0.8799
  Client 10: DR=0.8854, FPR=0.0015, Score=0.8840
  Client 11: DR=0.8809, FPR=0.0011, Score=0.8799
Round 20: α = [0.08334581221099573, 0.08334581221099573, 0.08334581221099573, 0.08334581221099573, 0.08334581221099573, 0.08334581221099573, 0.08334581221099573, 0.0833823596367242, 0.08334581221099573, 0.08315526790541367, 0.08352483554563386, 0.08317103922426254]
  Client 0: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 1: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 2: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 3: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 4: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 5: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 6: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 7: DR=0.8837, FPR=0.0014, Score=0.8824
  Client 8: DR=0.8832, FPR=0.0014, Score=0.8820
  Client 9: DR=0.8806, FPR=0.0011, Score=0.8797
  Client 10: DR=0.8854, FPR=0.0015, Score=0.8841
  Client 11: DR=0.8808, FPR=0.0010, Score=0.8799
