round,accuracy,detection_rate,false_positive_rate
1,0.9839222067255541,0.9730532466350834,0.0032887645244600488
2,0.9701769364383078,0.8845478007522733,0.007487229523389901
3,0.9501430712631149,0.8814014296251073,0.008444460552286847
4,0.951178634691375,0.8832600337358179,0.007856183095380848
5,0.9890415485007846,0.9220554865880477,0.0010119104394529213
6,0.9765360496952926,0.8989826872583587,0.0018883108044819765
7,0.9606064579186384,0.8810722589116103,0.005452631250135573
8,0.9899776976238333,0.9309999389467962,0.0012648880493161517
9,0.9613820601515672,0.9016300984231316,0.00475743212606326
10,0.9772131774958047,0.9064773673060273,0.0025503788506624522
11,0.9779197456354697,0.9071853561591099,0.00223898793763885
12,0.9781258280095386,0.9077646900918036,0.002879802890805028
13,0.9622534393071216,0.904573467889628,0.005047014951127981
14,0.9557569151110507,0.8921264887745952,0.005648918212900157
15,0.9628871696020702,0.9062160079901694,0.004984961488614112
16,0.9629399804599826,0.906617517792524,0.005129752901146472
17,0.9781552683486914,0.9076261683922267,0.0036275277415901454
18,0.9905008397808309,0.9316112946032559,0.0007273106283567872
19,0.9629795886034169,0.9069825267037555,0.005274544313678832
20,0.9566562201934868,0.894123034302035,0.005313222617105256
