round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.95963831261166,0.9035037731639969,0.00043647475414414086,0.14051943123793503
2,0.9610693841834689,0.9071662952984549,0.0005928945093466665,0.1343025578431444
3,0.9612881467167389,0.9078020996106604,0.0006705804994463105,0.13268039724392341
4,0.9620993911109491,0.9103018089979212,0.001061183176905292,0.131141661015406
5,0.9624275349108543,0.911596168005077,0.0014197574544339293,0.13082833438672736
6,0.9627647938163124,0.9142918183345333,0.002761670372383586,0.13124781054842916
7,0.9627739089218653,0.9136351796701812,0.0022782591232956163,0.13075181570226413
8,0.96281948444963,0.9138756364400127,0.002372146271065311,0.13172626275742416
9,0.9626280672330185,0.9130211271881722,0.0020911029622432287,0.12947258506219841
10,0.9628012542385241,0.9138529393134668,0.0023874435079466742,0.13023246350086662
11,0.9629835563495824,0.9141824017950764,0.002309485169072526,0.13157230684930324
12,0.963147628249535,0.9153448211624683,0.0028559595652602986,0.12992500777386679
13,0.9631658584606408,0.9153437843990336,0.0028242856328475957,0.12988356826119066
14,0.9629379808218179,0.914182529934355,0.0023875753414313544,0.13194027801666797
15,0.963047362088453,0.914642541662068,0.0025279732168414105,0.12930053986275794
16,0.9631111678273234,0.9140733451313018,0.0020128285702179683,0.13043207076377353
17,0.9632114339884056,0.9157384026932015,0.0030269292608127137,0.12906583010512504
18,0.9631020527217706,0.9136353356277594,0.0017165393421201911,0.13318804763811232
19,0.9632296641995114,0.9156947146139827,0.0029647986984869005,0.1316616523047525
20,0.963156743355088,0.9144447347233652,0.0022000668500134924,0.13109475976856969
