round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9417362453057206,0.8692838687581969,0.000590009288319289,0.10714795570552205
2,0.9494567397090459,0.8974823151196282,0.010155691792559676,0.10469843088955892
3,0.9493838188646224,0.9006233800408399,0.013017864510363885,0.1043208555985776
4,0.9485087687315419,0.9005546869287745,0.013695747522475408,0.10394344807323644
5,0.949575236081234,0.9008686345039947,0.012892330619232121,0.10356824690210055
6,0.9502132934699384,0.9014104597180379,0.012992757732137534,0.1030478775141235
7,0.9498942647755861,0.8994833714074004,0.0113106035909719,0.10429851009517384
8,0.95003099135888,0.9000531623774266,0.011574224762348604,0.10425386734828183
9,0.9475061071207205,0.899763999958543,0.013821281413607172,0.10341436509747447
10,0.9514711780362417,0.9018757567946241,0.0120010399921966,0.10621304415233301
11,0.9518175520472527,0.9030403568384627,0.012628709447855418,0.10260338658647757
12,0.9468498195209101,0.8998634127328509,0.01466235848418999,0.10360064908956058
13,0.9471232726874977,0.9016236752372763,0.016244085512450213,0.10420303217006847
14,0.9455372443212893,0.9019689629140633,0.01793879304272902,0.10327685600688408
15,0.9456101651657126,0.8989050465696329,0.014750232207982224,0.10449372640952638
16,0.9469500856819922,0.9022460233736848,0.016507706683826916,0.10563419446348443
17,0.9463302585043935,0.9009137441368597,0.015892590617281273,0.10894227076857603
18,0.9467495533598278,0.9016429525810934,0.016319405847129268,0.10385396383708624
19,0.9459018485434061,0.9031057909478563,0.018403268439916545,0.10437305980227318
20,0.9458562730156415,0.9004766457637065,0.016043231286639387,0.10891829185061852
