round,accuracy,detection_rate,false_positive_rate
1,0.9447847169054651,0.8723168069531667,0.00401660851745477
2,0.5695796419847606,0.9987701067968688,0.7353040176310901
3,0.8747994749890623,0.701877436195842,0.002525021848533983
4,0.5246281172524427,0.9977133102268473,0.811416990097944
5,0.9357431915126326,0.8477533995408971,0.0018074583886908075
6,0.5262313609683182,0.9981129214889956,0.8086313633433149
7,0.9410477961281856,0.8604887447870313,0.0015912163667593298
8,0.5150570564001604,0.995425612862822,0.8250700925780102
9,0.9313839871663994,0.8378640263234824,0.0019380520723934118
10,0.5275073826971453,0.9979383139203416,0.8074292988056734
11,0.9308213934157278,0.8359432198258719,0.0015920224797519125
12,0.5243182149628117,0.9979439119046046,0.8146392553671622
13,0.9388581012104418,0.8557964690476403,0.0018727720746424276
14,0.5236793175106639,0.9974919875406294,0.8110773080986136
15,0.9400612512760682,0.8583422041661942,0.0016254514311735972
16,0.5277990448065916,0.9972382980934829,0.8061921896357811
17,0.9356497010354383,0.8462484493296788,0.0009041776332693686
18,0.5012396091585241,0.9980711076372055,0.8527767892857727
19,0.9313839871663993,0.8371575413766353,0.0016544949872899007
20,0.4967734879142513,0.9973131715307356,0.858174618516289
