round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.942711,0.001694,0.871542,0.001234,0.006648,0.002356
2,0.542225,0.020934,0.991230,0.006413,0.777305,0.031461
3,0.900025,0.030370,0.763718,0.074059,0.003273,0.000638
4,0.523619,0.005079,0.988235,0.004956,0.806718,0.007795
5,0.931173,0.006564,0.838263,0.014174,0.002849,0.001146
6,0.526845,0.007066,0.989397,0.007883,0.802182,0.011503
7,0.932296,0.005104,0.839736,0.013434,0.001943,0.000861
8,0.525278,0.004618,0.989856,0.006592,0.805223,0.009691
9,0.933749,0.002494,0.843217,0.006999,0.001954,0.001000
10,0.528522,0.006985,0.989122,0.005093,0.798690,0.015050
11,0.936247,0.004306,0.849736,0.012521,0.002206,0.001559
12,0.520945,0.000205,0.988690,0.005303,0.811152,0.003616
13,0.935171,0.002854,0.846708,0.007927,0.001965,0.000866
14,0.517385,0.003409,0.989419,0.005727,0.818212,0.008378
15,0.935341,0.004489,0.847525,0.011669,0.002101,0.000896
16,0.517421,0.003003,0.988884,0.005592,0.816699,0.007188
17,0.938099,0.003674,0.854657,0.008958,0.002509,0.000255
18,0.506338,0.009608,0.989520,0.006070,0.837774,0.012130
19,0.936933,0.005631,0.850883,0.013566,0.001995,0.000553
20,0.500152,0.008459,0.989163,0.005368,0.847892,0.016510
