round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.944416,0.015259,0.904185,0.055453,0.167649,0.220567
2,0.917071,0.047648,0.860464,0.009737,0.007782,0.002352
3,0.924314,0.037135,0.866262,0.002579,0.007751,0.003593
4,0.960144,0.007722,0.888346,0.010914,0.006367,0.000498
5,0.990004,0.006716,0.931082,0.017248,0.067690,0.094104
6,0.969184,0.014899,0.917842,0.039252,0.005266,0.003427
7,0.955933,0.014494,0.898059,0.026881,0.163674,0.225386
8,0.951908,0.010090,0.921502,0.039569,0.168157,0.226315
9,0.964180,0.008383,0.897300,0.017502,0.005881,0.001520
10,0.950909,0.030013,0.946002,0.026616,0.010267,0.006470
11,0.962142,0.016256,0.930169,0.038741,0.164988,0.228548
12,0.970872,0.006910,0.918715,0.040522,0.199183,0.273164
13,0.983223,0.015300,0.913201,0.024749,0.068619,0.093482
14,0.964598,0.018097,0.916314,0.026016,0.166609,0.231489
15,0.972334,0.011244,0.913902,0.032642,0.005600,0.002799
16,0.953473,0.005097,0.900967,0.034007,0.168849,0.231960
17,0.962943,0.009861,0.910261,0.046936,0.201590,0.274689
18,0.978798,0.003720,0.943035,0.032247,0.198571,0.276183
19,0.983265,0.015777,0.942099,0.014632,0.070286,0.092343
20,0.966463,0.016718,0.918348,0.030241,0.166805,0.231354
