round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.861864,0.004263,0.697261,0.025355,0.021038,0.011542,0.370107,0.007690
2,0.919069,0.001809,0.820862,0.009781,0.011069,0.007963,0.315920,0.017935
3,0.918859,0.002507,0.830489,0.018739,0.018274,0.012696,0.285201,0.012987
4,0.923954,0.002657,0.827995,0.012901,0.007782,0.005048,0.271702,0.013451
5,0.925749,0.001068,0.833191,0.010488,0.008405,0.006642,0.261563,0.015650
6,0.928967,0.001917,0.839063,0.006580,0.007075,0.004588,0.252645,0.018299
7,0.931558,0.005034,0.848442,0.014833,0.009311,0.006681,0.245264,0.020009
8,0.932317,0.005762,0.847498,0.015944,0.007340,0.002393,0.239341,0.020509
9,0.933873,0.005817,0.852292,0.016779,0.008088,0.004353,0.234040,0.020115
10,0.935796,0.004439,0.856078,0.011705,0.007490,0.003482,0.229038,0.019384
11,0.937385,0.004038,0.861925,0.011594,0.008930,0.004043,0.224405,0.018639
12,0.938308,0.003816,0.863614,0.012699,0.008551,0.004400,0.219956,0.017789
13,0.939900,0.002944,0.869399,0.005742,0.009939,0.002699,0.215935,0.016961
14,0.940960,0.002996,0.872425,0.005128,0.010277,0.003394,0.212243,0.016151
15,0.941140,0.002969,0.874538,0.003187,0.011472,0.005117,0.208981,0.015626
16,0.941550,0.003417,0.877331,0.001889,0.012757,0.005665,0.206232,0.015145
17,0.941562,0.003783,0.878258,0.002576,0.013396,0.005949,0.203647,0.014711
18,0.941337,0.003388,0.876476,0.002447,0.012512,0.006709,0.201600,0.014486
19,0.941471,0.004089,0.877008,0.001459,0.012663,0.006002,0.199726,0.014202
20,0.941744,0.004075,0.880138,0.002277,0.014421,0.007390,0.198047,0.013934
