round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.565229,0.211490,0.937342,0.088612,0.576768,0.367902,0.162125,0.048765
2,0.757053,0.127176,0.898448,0.055868,0.284524,0.237586,0.128928,0.009987
3,0.735351,0.226247,0.873166,0.091363,0.303167,0.419571,0.076961,0.029080
4,0.786630,0.140007,0.896840,0.075070,0.228915,0.246811,0.137001,0.047553
5,0.908576,0.018820,0.869968,0.035490,0.035753,0.019992,0.061186,0.013536
6,0.545307,0.183317,0.969809,0.042696,0.621082,0.274840,0.083900,0.038923
7,0.690310,0.204622,0.922470,0.072381,0.403149,0.371346,0.081984,0.036006
8,0.745465,0.233257,0.906037,0.066834,0.273036,0.353472,0.048016,0.008658
9,0.911021,0.013779,0.838120,0.045833,0.006409,0.005382,0.044779,0.016308
10,0.729181,0.221387,0.939238,0.043064,0.346250,0.359515,0.082810,0.027350
11,0.923961,0.004665,0.881935,0.019038,0.009850,0.005686,0.069817,0.031769
12,0.751870,0.236896,0.935365,0.049890,0.316577,0.409458,0.036756,0.012809
13,0.582756,0.205325,0.963951,0.047476,0.549069,0.315809,0.068279,0.018995
14,0.416021,0.000479,0.999996,0.000005,0.841031,0.051204,0.066004,0.041106
15,0.599435,0.224721,0.946499,0.073932,0.520811,0.362006,0.111488,0.050988
16,0.926352,0.006945,0.879283,0.026390,0.007950,0.005740,0.056973,0.043695
17,0.647848,0.196557,0.946179,0.064994,0.451066,0.320991,0.100924,0.007280
18,0.419885,0.002975,0.999768,0.000328,0.835304,0.047786,0.084228,0.005709
19,0.580249,0.214077,0.965870,0.046928,0.559271,0.331133,0.062680,0.028617
20,0.747474,0.234500,0.890583,0.078200,0.285717,0.402773,0.058749,0.007600
