round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.955327,0.000224,0.893115,0.000717,0.000416,0.000125,0.159203,0.001933
2,0.956600,0.000305,0.895899,0.000709,0.000219,0.000013,0.146921,0.002747
3,0.957232,0.001063,0.897390,0.002642,0.000198,0.000070,0.142748,0.003501
4,0.957918,0.001051,0.899027,0.002619,0.000187,0.000084,0.139597,0.003739
5,0.958407,0.001419,0.900269,0.003615,0.000234,0.000157,0.138116,0.003378
6,0.959064,0.001313,0.901935,0.003428,0.000297,0.000210,0.136433,0.003177
7,0.959647,0.001110,0.903579,0.003200,0.000468,0.000387,0.135283,0.002783
8,0.959720,0.001352,0.903820,0.003849,0.000515,0.000442,0.134580,0.002531
9,0.959999,0.001332,0.904975,0.004516,0.000858,0.000950,0.134076,0.002360
10,0.960151,0.001194,0.905033,0.003704,0.000640,0.000607,0.133582,0.002192
11,0.960160,0.001204,0.905501,0.004223,0.000957,0.000980,0.133168,0.002047
12,0.960412,0.000920,0.906707,0.004210,0.001383,0.001443,0.133140,0.002433
13,0.960004,0.000159,0.904404,0.000585,0.000436,0.000140,0.134572,0.000078
14,0.960359,0.000451,0.905359,0.001562,0.000506,0.000335,0.134517,0.000756
15,0.960774,0.000137,0.906654,0.000640,0.000717,0.000218,0.133759,0.000449
16,0.960665,0.000346,0.906302,0.001277,0.000655,0.000312,0.133963,0.000475
17,0.960838,0.000201,0.907038,0.001067,0.000880,0.000413,0.133666,0.000414
18,0.960970,0.000269,0.907518,0.000469,0.000998,0.000124,0.134069,0.000621
19,0.960984,0.000046,0.907268,0.000223,0.000795,0.000077,0.133912,0.000270
20,0.961248,0.000055,0.908487,0.000279,0.001208,0.000288,0.133500,0.000587
