round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.946817,0.004384,0.885915,0.002809,0.002536,0.002412,0.075383,0.032334
2,0.721862,0.226606,0.947869,0.047289,0.332243,0.332188,0.039706,0.001079
3,0.702525,0.247792,0.951684,0.048307,0.361313,0.359596,0.020077,0.018391
4,0.907155,0.043026,0.917085,0.014170,0.073440,0.073407,0.049714,0.011119
5,0.955449,0.002242,0.904166,0.004623,0.002527,0.002475,0.051733,0.012824
6,0.708377,0.244074,0.953391,0.046346,0.354137,0.354106,0.023953,0.014696
7,0.957431,0.002210,0.903931,0.007645,0.001397,0.000348,0.059680,0.021002
8,0.768031,0.186005,0.954961,0.044740,0.276968,0.276895,0.030987,0.007221
9,0.950878,0.004024,0.887767,0.023617,0.000026,0.000026,0.041420,0.002697
10,0.948763,0.004672,0.884466,0.024602,0.000026,0.000026,0.034475,0.004067
11,0.847856,0.106125,0.949519,0.038819,0.167685,0.167632,0.050840,0.011810
12,0.752286,0.202926,0.955384,0.043201,0.337751,0.337699,0.041045,0.001965
13,0.730252,0.225033,0.955954,0.043837,0.366879,0.366867,0.022660,0.016160
14,0.793707,0.162581,0.956626,0.043143,0.284198,0.284186,0.052015,0.012847
15,0.792025,0.164271,0.956598,0.042898,0.285999,0.285945,0.029485,0.009471
16,0.956789,0.000000,0.914042,0.000000,0.000064,0.000000,0.038917,0.000000
17,0.956543,0.000000,0.913844,0.000000,0.000071,0.000000,0.039537,0.000000
18,0.957080,0.000000,0.914446,0.000000,0.000083,0.000000,0.040365,0.000000
19,0.957008,0.000000,0.914763,0.000000,0.000081,0.000000,0.039382,0.000000
20,0.956579,0.000000,0.913709,0.000000,0.000081,0.000000,0.039950,0.000000
