round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.947621,0.003104,0.882761,0.002011,0.000112,0.000042,0.040045,0.007732
2,0.954147,0.001855,0.896187,0.006044,0.000063,0.000017,0.037649,0.008279
3,0.954794,0.001727,0.899001,0.008583,0.000071,0.000034,0.037059,0.008059
4,0.955355,0.001468,0.900338,0.008557,0.000147,0.000056,0.037046,0.007829
5,0.956389,0.001190,0.902889,0.008668,0.000461,0.000371,0.036895,0.007590
6,0.956298,0.001573,0.902557,0.008306,0.000308,0.000252,0.036560,0.007544
7,0.956813,0.000757,0.903285,0.009762,0.000197,0.000109,0.037035,0.007348
8,0.956964,0.000971,0.903514,0.009623,0.000147,0.000080,0.036995,0.007119
9,0.956613,0.001067,0.903657,0.009150,0.000542,0.000369,0.037060,0.007332
10,0.956604,0.000884,0.902875,0.010186,0.000184,0.000010,0.037125,0.007063
11,0.957219,0.000096,0.903595,0.011261,0.000186,0.000002,0.037654,0.006113
12,0.957615,0.000766,0.904355,0.009788,0.000238,0.000151,0.038405,0.005339
13,0.957023,0.000027,0.903523,0.011092,0.000288,0.000148,0.037578,0.006334
14,0.957014,0.000529,0.903934,0.009954,0.000589,0.000423,0.037823,0.006015
15,0.956253,0.000460,0.904540,0.009894,0.001960,0.001787,0.038349,0.005685
16,0.956740,0.000073,0.903186,0.011221,0.000337,0.000145,0.039106,0.005675
17,0.948505,0.007953,0.905458,0.008734,0.011794,0.011622,0.038065,0.005607
18,0.957501,0.000397,0.904088,0.010695,0.000277,0.000064,0.037573,0.006357
19,0.957857,0.000479,0.904577,0.010582,0.000239,0.000046,0.038689,0.005339
20,0.953190,0.004197,0.904808,0.010403,0.005696,0.005471,0.037718,0.006241
