round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.865835,0.015871,0.685541,0.041421,0.005927,0.003171,0.280385,0.002335
2,0.934247,0.002842,0.875899,0.015759,0.024255,0.015350,0.226699,0.006062
3,0.937665,0.003128,0.877946,0.014933,0.019862,0.015535,0.205393,0.006751
4,0.935371,0.005080,0.874686,0.029386,0.021470,0.019382,0.195860,0.007507
5,0.939278,0.001770,0.895702,0.008279,0.029732,0.008713,0.189172,0.007675
6,0.941390,0.005635,0.895219,0.010396,0.025775,0.016925,0.184309,0.007519
7,0.944841,0.000753,0.895847,0.006151,0.020315,0.003611,0.180633,0.007199
8,0.946564,0.000737,0.894611,0.006565,0.016488,0.003427,0.177477,0.007011
9,0.948032,0.001350,0.894910,0.005780,0.014190,0.002662,0.174853,0.007031
10,0.949229,0.001646,0.892302,0.006266,0.010285,0.001762,0.172560,0.007109
11,0.949402,0.001947,0.893918,0.007339,0.011138,0.002103,0.170528,0.007182
12,0.950162,0.001905,0.893845,0.007107,0.009786,0.001965,0.168770,0.007189
13,0.950216,0.001889,0.893041,0.008761,0.009120,0.003245,0.167328,0.007065
14,0.950168,0.001065,0.894247,0.010654,0.010062,0.005768,0.166106,0.006923
15,0.951116,0.002169,0.890979,0.009311,0.006115,0.002933,0.165000,0.006751
16,0.951255,0.002144,0.890695,0.010690,0.005673,0.003962,0.163873,0.006503
17,0.951219,0.001608,0.893844,0.011125,0.007976,0.005160,0.162968,0.006409
18,0.951593,0.002017,0.893405,0.010688,0.007025,0.004150,0.162050,0.006211
19,0.951550,0.001875,0.892237,0.010969,0.006266,0.004622,0.161299,0.006057
20,0.952386,0.001607,0.894473,0.008276,0.006427,0.003152,0.160480,0.005858
