round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.748043,0.229084,0.867952,0.092937,0.216688,0.295738,0.161987,0.050262
2,0.585147,0.238979,0.968450,0.044599,0.502706,0.320061,0.132803,0.033489
3,0.649169,0.208156,0.965802,0.045781,0.416375,0.272212,0.122235,0.034965
4,0.786977,0.137762,0.940229,0.037085,0.225492,0.159509,0.117243,0.035644
5,0.795108,0.186161,0.934715,0.045586,0.204219,0.220069,0.112619,0.037989
6,0.711951,0.210937,0.948608,0.036339,0.318911,0.232361,0.110084,0.038210
7,0.760182,0.177439,0.944892,0.038154,0.258242,0.200602,0.107853,0.038651
8,0.697041,0.202901,0.950208,0.035232,0.340729,0.221156,0.106019,0.039182
9,0.694285,0.204751,0.949431,0.035874,0.343524,0.225972,0.104808,0.039011
10,0.736072,0.229068,0.944250,0.039483,0.281506,0.261091,0.103734,0.039055
11,0.668313,0.201258,0.950754,0.035280,0.380171,0.229901,0.102878,0.039131
12,0.728880,0.225853,0.945641,0.038653,0.292117,0.256976,0.101830,0.039323
13,0.743173,0.233911,0.942596,0.040756,0.270433,0.268816,0.101132,0.039275
14,0.750921,0.238466,0.939718,0.042690,0.258068,0.275891,0.100602,0.039226
15,0.737512,0.230553,0.943733,0.040097,0.279181,0.263866,0.099607,0.039579
16,0.749417,0.229080,0.938622,0.044083,0.260472,0.266579,0.098977,0.039784
17,0.692022,0.206085,0.950396,0.035260,0.346854,0.228951,0.098392,0.039872
18,0.808780,0.145114,0.940228,0.040685,0.196055,0.172619,0.097880,0.039847
19,0.748824,0.180776,0.946431,0.037620,0.274003,0.202122,0.097417,0.039794
20,0.773958,0.207206,0.939547,0.042712,0.232121,0.242237,0.096779,0.039968
