round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.956178,0.000329,0.894806,0.000768,0.000172,0.000034,0.150728,0.001644
2,0.958022,0.000388,0.899321,0.000922,0.000229,0.000032,0.141796,0.002159
3,0.959104,0.000505,0.902031,0.001131,0.000307,0.000090,0.137388,0.002270
4,0.959623,0.000916,0.903508,0.002376,0.000468,0.000123,0.135249,0.002193
5,0.960061,0.001051,0.905152,0.003267,0.000889,0.000523,0.133894,0.001886
6,0.960270,0.001145,0.905796,0.003571,0.000987,0.000591,0.132792,0.001820
7,0.960635,0.000753,0.906848,0.002378,0.001112,0.000538,0.132274,0.001895
8,0.960778,0.000764,0.907286,0.002357,0.001180,0.000470,0.131903,0.001332
9,0.961154,0.000491,0.908719,0.001431,0.001555,0.000570,0.131057,0.001390
10,0.961300,0.000331,0.909683,0.001472,0.001991,0.000843,0.131063,0.001183
11,0.961337,0.000392,0.909713,0.001430,0.001950,0.000706,0.131348,0.001150
12,0.961482,0.000432,0.911635,0.001456,0.003067,0.000853,0.130951,0.001293
13,0.960995,0.000342,0.909598,0.000544,0.002457,0.000975,0.132149,0.000001
14,0.961396,0.000178,0.909926,0.000609,0.002005,0.000741,0.132180,0.000090
15,0.961560,0.000269,0.910682,0.000082,0.002262,0.000406,0.131748,0.000404
16,0.961341,0.000542,0.910891,0.000127,0.002785,0.001022,0.132083,0.000550
17,0.961172,0.000638,0.911912,0.000672,0.003799,0.000616,0.131699,0.000593
18,0.961350,0.000278,0.909554,0.000741,0.001818,0.001006,0.133065,0.000539
19,0.961341,0.000788,0.911549,0.000377,0.003253,0.001085,0.133379,0.000304
20,0.961255,0.000419,0.910585,0.000588,0.002715,0.001139,0.132565,0.000392
