round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.784529,0.236237,0.933451,0.047607,0.301460,0.426015,0.043823,0.020579
2,0.789238,0.221287,0.938947,0.046644,0.286609,0.389671,0.032085,0.020367
3,0.789818,0.231823,0.930545,0.049094,0.255040,0.360645,0.039582,0.024251
4,0.955037,0.001827,0.905372,0.009374,0.000141,0.000073,0.041214,0.010597
5,0.672530,0.206669,0.973789,0.035178,0.504847,0.369355,0.017293,0.004714
6,0.796220,0.226078,0.939503,0.043164,0.287381,0.406325,0.041226,0.013045
7,0.895339,0.080641,0.935336,0.036808,0.114616,0.157748,0.054259,0.031394
8,0.903144,0.077994,0.929209,0.035874,0.094639,0.133430,0.063004,0.029908
9,0.729771,0.156716,0.973920,0.033967,0.400188,0.270699,0.064112,0.037905
10,0.844327,0.143035,0.941191,0.041862,0.190143,0.220592,0.047292,0.031884
11,0.779191,0.125818,0.968644,0.037732,0.310051,0.206265,0.047296,0.018792
12,0.957161,0.001382,0.908236,0.009196,0.000047,0.000020,0.055986,0.029258
13,0.950805,0.008885,0.913976,0.008416,0.021071,0.029694,0.032711,0.016619
14,0.957592,0.002889,0.919477,0.011497,0.008086,0.004331,0.085383,0.049424
15,0.957112,0.001360,0.917892,0.012040,0.006629,0.004741,0.068857,0.043850
16,0.815905,0.200178,0.934976,0.046020,0.218509,0.308939,0.040595,0.029058
17,0.776380,0.255057,0.934404,0.046401,0.278016,0.393084,0.039921,0.028320
18,0.738150,0.148606,0.973482,0.035926,0.375406,0.248269,0.059906,0.033934
19,0.894422,0.085509,0.933182,0.036756,0.119430,0.168827,0.044469,0.020595
20,0.956590,0.002100,0.907830,0.007924,0.000032,0.000019,0.050140,0.024581
