round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.925008,0.044320,0.836117,0.044236,0.000292,0.000246,0.032653,0.028772
2,0.921535,0.046556,0.841175,0.034143,0.004907,0.006864,0.030969,0.027041
3,0.928146,0.043720,0.842383,0.040345,0.000722,0.000922,0.031978,0.025638
4,0.938386,0.029634,0.852742,0.047931,0.000570,0.000699,0.031356,0.025729
5,0.944043,0.022117,0.860534,0.054039,0.001815,0.001310,0.030309,0.026450
6,0.945049,0.020149,0.863501,0.055919,0.003346,0.004387,0.029903,0.026737
7,0.944708,0.018699,0.864424,0.056596,0.004672,0.006099,0.029768,0.026804
8,0.945811,0.019208,0.863964,0.056689,0.003072,0.004225,0.029701,0.027002
9,0.946644,0.017317,0.865780,0.056988,0.003792,0.003602,0.029523,0.026719
10,0.923045,0.051301,0.841660,0.041916,0.003535,0.004906,0.029892,0.026789
11,0.941755,0.025135,0.859859,0.052860,0.003093,0.004163,0.032820,0.024292
12,0.945754,0.020467,0.862827,0.055797,0.002048,0.002437,0.030424,0.026087
13,0.947008,0.019189,0.866456,0.060110,0.004730,0.004109,0.029972,0.026852
14,0.944161,0.022791,0.871157,0.063947,0.012045,0.012658,0.029744,0.026751
15,0.948111,0.016997,0.871309,0.064054,0.008239,0.007074,0.029707,0.027250
