round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.943484,0.002643,0.873276,0.005598,0.006611,0.000655
2,0.611761,0.026448,0.985518,0.004467,0.653378,0.042378
3,0.928658,0.004332,0.833330,0.009717,0.003442,0.001761
4,0.589176,0.020182,0.982433,0.002075,0.690360,0.033702
5,0.937232,0.002598,0.856031,0.008661,0.005104,0.002345
6,0.591078,0.019627,0.971643,0.019414,0.679211,0.026454
7,0.937615,0.003974,0.856808,0.010985,0.004941,0.002042
8,0.599572,0.026927,0.983417,0.005405,0.673350,0.042617
9,0.936946,0.002411,0.851636,0.006707,0.002444,0.000505
10,0.596419,0.023441,0.984453,0.004198,0.680017,0.036904
11,0.934886,0.004037,0.847544,0.007881,0.003218,0.002149
12,0.599906,0.025813,0.980251,0.009857,0.670882,0.038127
13,0.937718,0.003645,0.857537,0.011664,0.005299,0.002702
14,0.601650,0.023062,0.984511,0.003505,0.670497,0.037868
15,0.937925,0.004780,0.855431,0.011607,0.003572,0.000802
16,0.601462,0.023018,0.983746,0.006361,0.670599,0.036485
17,0.937177,0.004383,0.855171,0.011202,0.004506,0.003288
18,0.600046,0.021360,0.984741,0.002954,0.673181,0.036004
19,0.937068,0.007189,0.855549,0.015309,0.004960,0.001381
20,0.601231,0.023118,0.981389,0.008998,0.669151,0.039390
