round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.967885,0.013142,0.890141,0.021881,0.008505,0.003507
2,0.971563,0.013085,0.916588,0.041591,0.008124,0.003429
3,0.979774,0.009871,0.949714,0.013377,0.195807,0.274260
4,0.963766,0.003577,0.937639,0.035781,0.197708,0.272915
5,0.954773,0.021147,0.904069,0.019722,0.017480,0.017835
6,0.962632,0.010747,0.913550,0.032527,0.171432,0.236264
7,0.949910,0.015432,0.928265,0.023380,0.015690,0.017352
8,0.948099,0.014247,0.915028,0.019465,0.018453,0.019485
9,0.970356,0.020238,0.910380,0.031869,0.071096,0.091994
10,0.983449,0.016546,0.922951,0.030371,0.069444,0.093129
11,0.964240,0.010369,0.931122,0.036451,0.198608,0.274861
12,0.959493,0.003163,0.914407,0.032556,0.173972,0.240595
13,0.973723,0.017926,0.909321,0.032276,0.070206,0.092459
14,0.959926,0.002755,0.911013,0.032693,0.171064,0.234473
15,0.974462,0.012426,0.929660,0.024181,0.006455,0.004669
16,0.976833,0.009052,0.932563,0.019954,0.005229,0.004992
17,0.973434,0.018337,0.909458,0.033861,0.069827,0.092700
18,0.950195,0.013565,0.902391,0.020112,0.014443,0.014096
19,0.981034,0.019577,0.941974,0.012009,0.069223,0.093105
20,0.976637,0.012843,0.939530,0.021526,0.003523,0.001754
