round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.459846,0.062458,0.999344,0.000928,0.774287,0.099021,0.051617,0.035335
2,0.841158,0.161560,0.953274,0.031342,0.206242,0.288361,0.070490,0.040876
3,0.862442,0.120728,0.933373,0.046267,0.133558,0.188257,0.036366,0.004096
4,0.870805,0.106259,0.938807,0.038191,0.130738,0.176416,0.049262,0.035341
5,0.781941,0.232937,0.934577,0.047371,0.263495,0.372549,0.022383,0.012295
6,0.840420,0.144887,0.935029,0.045849,0.173419,0.239582,0.038263,0.024274
7,0.882766,0.097811,0.945375,0.030362,0.123175,0.173476,0.048464,0.017825
8,0.957563,0.000651,0.926224,0.013733,0.002568,0.002386,0.067475,0.028315
9,0.952486,0.007202,0.916642,0.010982,0.000730,0.000506,0.034137,0.021266
10,0.837724,0.163444,0.939350,0.043364,0.171403,0.242309,0.049210,0.007148
11,0.952274,0.001555,0.913460,0.009910,0.000038,0.000008,0.023445,0.011497
12,0.952842,0.003307,0.914652,0.007090,0.000161,0.000149,0.033178,0.013795
13,0.776953,0.254983,0.947313,0.039022,0.258883,0.362486,0.045692,0.010116
14,0.865789,0.128493,0.944638,0.038521,0.147937,0.208496,0.057557,0.007496
15,0.837792,0.162178,0.940259,0.043509,0.183362,0.259239,0.041276,0.008092
16,0.945426,0.005343,0.911003,0.023039,0.005405,0.007609,0.044387,0.032971
17,0.952924,0.003418,0.914349,0.009954,0.000128,0.000110,0.035915,0.023425
18,0.835927,0.151030,0.945755,0.037308,0.190757,0.246803,0.035691,0.022664
19,0.779860,0.239465,0.944949,0.040037,0.287571,0.406629,0.017732,0.012014
20,0.949685,0.005980,0.910548,0.003659,0.000217,0.000286,0.027292,0.012979
