config,num_seeds,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
AttentionFedXgb/XGBoost/iid/12/frac_1.0,3,0.942696,0.001640,0.866538,0.007135,0.003132,0.002347
AttentionFedXgb/XGBoost/iid/16/frac_1.0,3,0.937847,0.005659,0.856047,0.014110,0.003968,0.001009
AttentionFedXgb/XGBoost/iid/2/frac_1.0,3,0.960545,0.000257,0.913942,0.000841,0.006306,0.000791
AttentionFedXgb/XGBoost/iid/20/frac_1.0,3,0.733443,0.233516,0.781216,0.053478,0.300539,0.416233
AttentionFedXgb/XGBoost/iid/4/frac_1.0,3,0.961175,0.000150,0.912199,0.001596,0.003989,0.001384
AttentionFedXgb/XGBoost/iid/8/frac_1.0,3,0.958700,0.002522,0.907123,0.005644,0.004613,0.001828
AttentionFedXgb/XGBoost/non-iid/12/frac_0.4,3,0.953698,0.002409,0.895766,0.009448,0.005096,0.002739
AttentionFedXgb/XGBoost/non-iid/12/frac_1.0,3,0.953523,0.002361,0.897743,0.003814,0.006801,0.003318
AttentionFedXgb/XGBoost/non-iid/16/frac_0.4,3,0.947995,0.000786,0.886813,0.004287,0.008486,0.001854
AttentionFedXgb/XGBoost/non-iid/16/frac_1.0,3,0.950990,0.001619,0.889292,0.005335,0.005125,0.001055
AttentionFedXgb/XGBoost/non-iid/2/frac_0.4,3,0.938965,0.013018,0.863041,0.037848,0.007030,0.004690
AttentionFedXgb/XGBoost/non-iid/2/frac_1.0,3,0.938965,0.013018,0.863041,0.037848,0.007030,0.004690
AttentionFedXgb/XGBoost/non-iid/20/frac_0.4,3,0.953600,0.000852,0.898053,0.003114,0.006888,0.003474
AttentionFedXgb/XGBoost/non-iid/20/frac_1.0,3,0.944794,0.010258,0.873819,0.026210,0.004721,0.001675
AttentionFedXgb/XGBoost/non-iid/4/frac_0.4,3,0.951559,0.007121,0.895111,0.016085,0.008290,0.001057
AttentionFedXgb/XGBoost/non-iid/4/frac_1.0,3,0.952883,0.006476,0.897649,0.014349,0.007828,0.001137
AttentionFedXgb/XGBoost/non-iid/8/frac_0.4,3,0.949471,0.000974,0.889222,0.003977,0.007675,0.001228
AttentionFedXgb/XGBoost/non-iid/8/frac_1.0,3,0.954147,0.001400,0.895778,0.003340,0.004334,0.001692
FedAvg/CNN/iid/12/frac_1.0,3,0.944716,0.003029,0.887053,0.002177,0.014268,0.004783
FedAvg/CNN/iid/16/frac_1.0,3,0.938630,0.007495,0.883942,0.010018,0.022470,0.016819
FedAvg/CNN/iid/2/frac_1.0,3,0.954838,0.001110,0.900737,0.005715,0.006680,0.002508
FedAvg/CNN/iid/20/frac_1.0,3,0.941070,0.004219,0.879257,0.002502,0.014962,0.007587
FedAvg/CNN/iid/4/frac_1.0,3,0.951515,0.002531,0.892228,0.007477,0.006314,0.003389
FedAvg/CNN/iid/8/frac_1.0,3,0.940747,0.009549,0.864357,0.023247,0.004917,0.001083
FedAvg/CNN/non-iid/12/frac_0.4,3,0.799205,0.169298,0.922825,0.056422,0.288725,0.328632
FedAvg/CNN/non-iid/12/frac_1.0,3,0.889070,0.071218,0.882269,0.041790,0.106092,0.146204
FedAvg/CNN/non-iid/16/frac_0.4,3,0.776908,0.223182,0.912906,0.063206,0.319827,0.425490
FedAvg/CNN/non-iid/16/frac_1.0,3,0.874965,0.062639,0.864842,0.035208,0.117834,0.122102
FedAvg/CNN/non-iid/2/frac_0.4,3,0.767025,0.215438,0.944263,0.039201,0.359044,0.396500
FedAvg/CNN/non-iid/2/frac_1.0,3,0.760416,0.197395,0.948058,0.036381,0.373054,0.363588
FedAvg/CNN/non-iid/20/frac_0.4,3,0.746994,0.234209,0.861105,0.098226,0.334174,0.470661
FedAvg/CNN/non-iid/20/frac_1.0,3,0.849528,0.108844,0.871801,0.034761,0.166315,0.210518
FedAvg/CNN/non-iid/4/frac_0.4,3,0.920993,0.018794,0.899942,0.016149,0.064034,0.042914
FedAvg/CNN/non-iid/4/frac_1.0,3,0.871740,0.055651,0.899678,0.015357,0.148133,0.106082
FedAvg/CNN/non-iid/8/frac_0.4,3,0.935725,0.003549,0.867585,0.016186,0.015807,0.017552
FedAvg/CNN/non-iid/8/frac_1.0,3,0.840923,0.126460,0.906784,0.055496,0.205923,0.253798
FedAvg/DNN/iid/12/frac_1.0,3,0.961617,0.000092,0.912064,0.001024,0.003136,0.000678
FedAvg/DNN/iid/16/frac_1.0,3,0.961082,0.000414,0.908988,0.002564,0.001864,0.001133
FedAvg/DNN/iid/2/frac_1.0,3,0.961833,0.000202,0.913959,0.001637,0.004114,0.001469
FedAvg/DNN/iid/20/frac_1.0,3,0.960978,0.000276,0.908901,0.002066,0.001980,0.001044
FedAvg/DNN/iid/4/frac_1.0,3,0.961700,0.000244,0.911105,0.002226,0.002313,0.001209
FedAvg/DNN/iid/8/frac_1.0,3,0.961721,0.000170,0.912380,0.000381,0.003182,0.000395
FedAvg/DNN/non-iid/12/frac_0.4,3,0.718538,0.224949,0.955439,0.047293,0.449970,0.414317
FedAvg/DNN/non-iid/12/frac_1.0,3,0.880553,0.104664,0.925556,0.047360,0.151457,0.212720
FedAvg/DNN/non-iid/16/frac_0.4,3,0.653009,0.214541,0.959515,0.046605,0.565009,0.400229
FedAvg/DNN/non-iid/16/frac_1.0,3,0.947203,0.007913,0.874830,0.020823,0.001319,0.001716
FedAvg/DNN/non-iid/2/frac_0.4,3,0.952601,0.004525,0.908813,0.005888,0.016252,0.003556
FedAvg/DNN/non-iid/2/frac_1.0,3,0.772864,0.250985,0.937637,0.044101,0.344340,0.460879
FedAvg/DNN/non-iid/20,2,0.791705,0.164790,0.947509,0.051965,0.319118,0.318968
FedAvg/DNN/non-iid/20/frac_0.4,3,0.816429,0.179567,0.934526,0.046771,0.267573,0.339607
FedAvg/DNN/non-iid/20/frac_1.0,3,0.954743,0.003494,0.891392,0.008457,0.000196,0.000056
FedAvg/DNN/non-iid/4/frac_0.4,3,0.840274,0.167363,0.938696,0.043614,0.229733,0.317120
FedAvg/DNN/non-iid/4/frac_1.0,3,0.946982,0.008916,0.899339,0.013767,0.019130,0.024958
FedAvg/DNN/non-iid/8/frac_0.4,3,0.957212,0.001774,0.898737,0.005539,0.001194,0.000978
FedAvg/DNN/non-iid/8/frac_1.0,3,0.780168,0.243981,0.931193,0.048623,0.327256,0.452111
FedProx/CNN/iid/12/frac_1.0/mu_1.0,3,0.945484,0.002138,0.885070,0.005283,0.011543,0.001435
FedProx/CNN/iid/16/frac_1.0/mu_1.0,3,0.941257,0.003667,0.884345,0.007361,0.018261,0.006811
FedProx/CNN/iid/2/frac_1.0/mu_1.0,3,0.954318,0.001798,0.900602,0.006560,0.007475,0.004453
FedProx/CNN/iid/20/frac_1.0/mu_1.0,3,0.940555,0.003276,0.876684,0.004413,0.014014,0.008053
FedProx/CNN/iid/4/frac_1.0/mu_1.0,3,0.951700,0.001724,0.893374,0.008248,0.006814,0.003062
FedProx/CNN/iid/8/frac_1.0/mu_1.0,3,0.948627,0.001512,0.887836,0.005388,0.008132,0.001434
FedProx/CNN/non-iid/12/frac_0.4/mu_1.0,3,0.797773,0.192168,0.912971,0.065218,0.284166,0.372789
FedProx/CNN/non-iid/12/frac_1.0/mu_1.0,3,0.912211,0.038942,0.878018,0.037204,0.063468,0.086150
FedProx/CNN/non-iid/16/frac_0.4/mu_1.0,3,0.423228,0.010636,0.998041,0.002771,0.985637,0.020172
FedProx/CNN/non-iid/16/frac_1.0/mu_1.0,3,0.825381,0.101739,0.904848,0.027881,0.231143,0.193482
FedProx/CNN/non-iid/2/frac_0.4/mu_1.0,3,0.771889,0.205349,0.945228,0.038454,0.351407,0.378539
FedProx/CNN/non-iid/2/frac_1.0/mu_1.0,3,0.773151,0.207657,0.942702,0.040581,0.347451,0.384229
FedProx/CNN/non-iid/20/frac_0.4/mu_1.0,3,0.733856,0.225524,0.907602,0.075764,0.389730,0.435650
