Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.7400
Accuracy: 0.9661658116
Detection Rate: 0.8875505335
False Positive Rate: 0.0044657087

--- Per-Round Attention Weights ---
Round 1: α = [0.08325423099387305, 0.0833255074550956, 0.08328573531386478, 0.08328372623776673, 0.08324429501020178, 0.08330296400118445, 0.08341800234536595, 0.08342119651908722, 0.08332409020280011, 0.08340916463317706, 0.08333921604318904, 0.08339187124439437]
  Client 0: DR=0.8673, FPR=0.0702, Score=0.8064
  Client 1: DR=0.8680, FPR=0.0699, Score=0.8073
  Client 2: DR=0.8672, FPR=0.0696, Score=0.8068
  Client 3: DR=0.8659, FPR=0.0683, Score=0.8068
  Client 4: DR=0.8655, FPR=0.0683, Score=0.8063
  Client 5: DR=0.8663, FPR=0.0684, Score=0.8070
  Client 6: DR=0.8694, FPR=0.0701, Score=0.8084
  Client 7: DR=0.8687, FPR=0.0694, Score=0.8085
  Client 8: DR=0.8680, FPR=0.0699, Score=0.8073
  Client 9: DR=0.8674, FPR=0.0681, Score=0.8083
  Client 10: DR=0.8670, FPR=0.0687, Score=0.8075
  Client 11: DR=0.8679, FPR=0.0689, Score=0.8081
Round 2: α = [0.08334267860834571, 0.08334267860834571, 0.08331358885317904, 0.08332237851508706, 0.08333735415347297, 0.08332237851508706, 0.08335146893520999, 0.08334267860834571, 0.08335146893520999, 0.08335146893520999, 0.08330826847932757, 0.08331358885317904]
  Client 0: DR=0.8927, FPR=0.0635, Score=0.8360
  Client 1: DR=0.8927, FPR=0.0635, Score=0.8360
  Client 2: DR=0.8923, FPR=0.0635, Score=0.8356
  Client 3: DR=0.8925, FPR=0.0636, Score=0.8357
  Client 4: DR=0.8927, FPR=0.0636, Score=0.8359
  Client 5: DR=0.8925, FPR=0.0636, Score=0.8357
  Client 6: DR=0.8929, FPR=0.0636, Score=0.8361
  Client 7: DR=0.8927, FPR=0.0635, Score=0.8360
  Client 8: DR=0.8929, FPR=0.0636, Score=0.8361
  Client 9: DR=0.8929, FPR=0.0636, Score=0.8361
  Client 10: DR=0.8923, FPR=0.0636, Score=0.8356
  Client 11: DR=0.8923, FPR=0.0635, Score=0.8356
Round 3: α = [0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]
  Client 0: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 1: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 2: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 3: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 4: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 5: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 6: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 7: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 8: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 9: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 10: DR=0.8916, FPR=0.0636, Score=0.8349
  Client 11: DR=0.8916, FPR=0.0636, Score=0.8349
Round 4: α = [0.08330523054300842, 0.08330523054300842, 0.08330523054300842, 0.08338953891398315, 0.08330523054300842, 0.08338953891398315, 0.08330523054300842, 0.08330523054300842, 0.08330523054300842, 0.08330523054300842, 0.08338953891398315, 0.08338953891398315]
  Client 0: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 1: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 2: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 3: DR=0.8917, FPR=0.0636, Score=0.8349
  Client 4: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 5: DR=0.8917, FPR=0.0636, Score=0.8349
  Client 6: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 7: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 8: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 9: DR=0.8917, FPR=0.0648, Score=0.8339
  Client 10: DR=0.8917, FPR=0.0636, Score=0.8349
  Client 11: DR=0.8917, FPR=0.0636, Score=0.8349
Round 5: α = [0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]
  Client 0: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 1: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 2: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 3: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 4: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 5: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 6: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 7: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 8: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 9: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 10: DR=0.8931, FPR=0.0648, Score=0.8352
  Client 11: DR=0.8931, FPR=0.0648, Score=0.8352
Round 6: α = [0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]
  Client 0: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 1: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 2: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 3: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 4: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 5: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 6: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 7: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 8: DR=0.9172, FPR=0.0647, Score=0.8579
