Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 16
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.7000
Accuracy: 0.9660801954
Detection Rate: 0.8880227318
False Positive Rate: 0.0047597090

--- Per-Round Attention Weights ---
Round 1: α = [0.06250693784355299, 0.06250477971882319, 0.06254144042324726, 0.0624829232274938, 0.06247097813781999, 0.06255533764292237, 0.0624990198774771, 0.06247672082521887, 0.06247310935855301, 0.06247267471240751, 0.062494593448483925, 0.06248046594131261, 0.0625305125717124, 0.0625140144723078, 0.06247492308125935, 0.0625215687174078]
  Client 0: DR=0.8365, FPR=0.0112, Score=0.8272
  Client 1: DR=0.8373, FPR=0.0121, Score=0.8271
  Client 2: DR=0.8367, FPR=0.0107, Score=0.8277
  Client 3: DR=0.8364, FPR=0.0115, Score=0.8268
  Client 4: DR=0.8382, FPR=0.0138, Score=0.8266
  Client 5: DR=0.8375, FPR=0.0114, Score=0.8279
  Client 6: DR=0.8374, FPR=0.0124, Score=0.8270
  Client 7: DR=0.8359, FPR=0.0110, Score=0.8267
  Client 8: DR=0.8368, FPR=0.0121, Score=0.8266
  Client 9: DR=0.8356, FPR=0.0108, Score=0.8266
  Client 10: DR=0.8373, FPR=0.0124, Score=0.8270
  Client 11: DR=0.8382, FPR=0.0137, Score=0.8268
  Client 12: DR=0.8379, FPR=0.0124, Score=0.8276
  Client 13: DR=0.8371, FPR=0.0117, Score=0.8273
  Client 14: DR=0.8362, FPR=0.0114, Score=0.8267
  Client 15: DR=0.8369, FPR=0.0113, Score=0.8274
Round 2: α = [0.06250088364919544, 0.062499644290218336, 0.062499644290218336, 0.062499395036921986, 0.062499395036921986, 0.06250088364919544, 0.06250063438375833, 0.062499395036921986, 0.062499395036921986, 0.062499644290218336, 0.06250088364919544, 0.06250088364919544, 0.062499644290218336, 0.062499644290218336, 0.06250063438375833, 0.062499395036921986]
  Client 0: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 1: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 2: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 3: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 4: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 5: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 6: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 7: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 8: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 9: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 10: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 11: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 12: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 13: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 14: DR=0.8915, FPR=0.0632, Score=0.8351
  Client 15: DR=0.8915, FPR=0.0632, Score=0.8351
Round 3: α = [0.0624966082073731, 0.06249969090286675, 0.06250191309189061, 0.06250191309189061, 0.06249969090286675, 0.06249969090286675, 0.0624966082073731, 0.06249969090286675, 0.06250191309189061, 0.06249969090286675, 0.06249969090286675, 0.06249969090286675, 0.06249969090286675, 0.06250191309189061, 0.06250191309189061, 0.06249969090286675]
  Client 0: DR=0.8913, FPR=0.0632, Score=0.8349
  Client 1: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 2: DR=0.8914, FPR=0.0632, Score=0.8350
  Client 3: DR=0.8914, FPR=0.0632, Score=0.8350
  Client 4: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 5: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 6: DR=0.8913, FPR=0.0632, Score=0.8349
  Client 7: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 8: DR=0.8914, FPR=0.0632, Score=0.8350
  Client 9: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 10: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 11: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 12: DR=0.8915, FPR=0.0633, Score=0.8350
  Client 13: DR=0.8914, FPR=0.0632, Score=0.8350
  Client 14: DR=0.8914, FPR=0.0632, Score=0.8350
  Client 15: DR=0.8915, FPR=0.0633, Score=0.8350
Round 4: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 1: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 2: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 3: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 4: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 5: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 6: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 7: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 8: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 9: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 10: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 11: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 12: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 13: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 14: DR=0.8928, FPR=0.0634, Score=0.8362
  Client 15: DR=0.8928, FPR=0.0634, Score=0.8362
Round 5: α = [0.062499501066698944, 0.062499501066698944, 0.062499501066698944, 0.06250149679990316, 0.062499501066698944, 0.062499501066698944, 0.06250149679990316, 0.062499501066698944, 0.062499501066698944, 0.06250149679990316, 0.062499501066698944, 0.062499501066698944, 0.062499501066698944, 0.06250149679990316, 0.062499501066698944, 0.062499501066698944]
  Client 0: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 1: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 2: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 3: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 4: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 5: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 6: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 7: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 8: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 9: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 10: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 11: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 12: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 13: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 14: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 15: DR=0.9172, FPR=0.0632, Score=0.8592
Round 6: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 1: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 2: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 3: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 4: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 5: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 6: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 7: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 8: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 9: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 10: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 11: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 12: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 13: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 14: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 15: DR=0.9172, FPR=0.0632, Score=0.8592
Round 7: α = [0.06249892301991688, 0.06250019792297737, 0.06250019792297737, 0.06250019792297737, 0.06250019792297737, 0.0625016921398857, 0.06249892301991688, 0.06249892301991688, 0.06249892301991688, 0.06250019792297737, 0.06249892301991688, 0.06250019792297737, 0.06250019792297737, 0.06249892301991688, 0.0625016921398857, 0.0625016921398857]
  Client 0: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 1: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 2: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 3: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 4: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 5: DR=0.9171, FPR=0.0632, Score=0.8592
  Client 6: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 7: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 8: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 9: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 10: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 11: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 12: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 13: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 14: DR=0.9171, FPR=0.0632, Score=0.8592
  Client 15: DR=0.9171, FPR=0.0632, Score=0.8592
Round 8: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 1: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 2: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 3: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 4: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 5: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 6: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 7: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 8: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 9: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 10: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 11: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 12: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 13: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 14: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 15: DR=0.9460, FPR=0.0633, Score=0.8862
