Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4200
Accuracy: 0.9629326718
Detection Rate: 0.8865895686
False Positive Rate: 0.0085476698

--- Per-Round Attention Weights ---
Round 1: α = [0.05091010683934224, 0.11681521510410058, 0.05091010683934224, 0.08200525442010573, 0.10677387909439012, 0.09350864746830193, 0.08204177765009811, 0.06681689087417643, 0.05091010683934224, 0.11173754618342438, 0.11147799878403591, 0.07609246990334007]
  Client 0: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 1: DR=0.8608, FPR=0.0352, Score=0.8305
  Client 2: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 3: DR=0.4801, FPR=0.0070, Score=0.4767
  Client 4: DR=0.7461, FPR=0.0073, Score=0.7407
  Client 5: DR=0.9882, FPR=0.3847, Score=0.6080
  Client 6: DR=0.4801, FPR=0.0061, Score=0.4772
  Client 7: DR=0.2720, FPR=0.0003, Score=0.2719
  Client 8: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 9: DR=0.8929, FPR=0.1196, Score=0.7861
  Client 10: DR=0.7898, FPR=0.0077, Score=0.7838
  Client 11: DR=0.4043, FPR=0.0061, Score=0.4019
Round 2: α = [0.0829098803932269, 0.08341043761993905, 0.08346175480359475, 0.08318065386134631, 0.08329283443232174, 0.08341043761993905, 0.0833619263636854, 0.08341043761993905, 0.08340979496316331, 0.08325848018373061, 0.08326143470595758, 0.08363192743315623]
  Client 0: DR=0.8167, FPR=0.0079, Score=0.8102
  Client 1: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 2: DR=0.8226, FPR=0.0071, Score=0.8168
  Client 3: DR=0.8209, FPR=0.0091, Score=0.8134
  Client 4: DR=0.8213, FPR=0.0080, Score=0.8148
  Client 5: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 6: DR=0.8231, FPR=0.0091, Score=0.8156
  Client 7: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 8: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 9: DR=0.8209, FPR=0.0079, Score=0.8144
  Client 10: DR=0.8208, FPR=0.0078, Score=0.8144
  Client 11: DR=0.8254, FPR=0.0080, Score=0.8188
Round 3: α = [0.08341519537256287, 0.08323343455349962, 0.08332592156766622, 0.08351007587155641, 0.08332527956206574, 0.08338505070001963, 0.08332592156766622, 0.08323343455349962, 0.08323343455349962, 0.08332592156766622, 0.08317625425874135, 0.08351007587155641]
  Client 0: DR=0.8231, FPR=0.0071, Score=0.8173
  Client 1: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 2: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 3: DR=0.8250, FPR=0.0080, Score=0.8184
  Client 4: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 5: DR=0.8227, FPR=0.0071, Score=0.8169
  Client 6: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 7: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 8: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 9: DR=0.8227, FPR=0.0079, Score=0.8162
  Client 10: DR=0.8209, FPR=0.0079, Score=0.8144
  Client 11: DR=0.8250, FPR=0.0080, Score=0.8184
Round 4: α = [0.08343036230273902, 0.08354566054647788, 0.08354566054647788, 0.08327125370836777, 0.0832119103060891, 0.08327125370836777, 0.0832119103060891, 0.0832119103060891, 0.0832119103060891, 0.08327125370836777, 0.08327125370836777, 0.08354566054647788]
  Client 0: DR=0.8228, FPR=0.0071, Score=0.8170
  Client 1: DR=0.8249, FPR=0.0080, Score=0.8184
  Client 2: DR=0.8249, FPR=0.0080, Score=0.8184
  Client 3: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 4: DR=0.8209, FPR=0.0079, Score=0.8144
  Client 5: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 6: DR=0.8209, FPR=0.0079, Score=0.8144
  Client 7: DR=0.8209, FPR=0.0079, Score=0.8144
  Client 8: DR=0.8209, FPR=0.0079, Score=0.8144
  Client 9: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 10: DR=0.8209, FPR=0.0071, Score=0.8151
  Client 11: DR=0.8249, FPR=0.0080, Score=0.8184
Round 5: α = [0.08357131790349326, 0.08325485541497972, 0.08341894014585347, 0.08341894014585347, 0.08341894014585347, 0.08308041522018435, 0.08341894014585347, 0.08341894014585347, 0.08341894014585347, 0.08341894014585347, 0.08308041522018435, 0.08308041522018435]
  Client 0: DR=0.8247, FPR=0.0071, Score=0.8188
  Client 1: DR=0.8209, FPR=0.0071, Score=0.8150
  Client 2: DR=0.8228, FPR=0.0071, Score=0.8170
  Client 3: DR=0.8228, FPR=0.0071, Score=0.8170
  Client 4: DR=0.8228, FPR=0.0071, Score=0.8170
