Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 16
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.5200
Accuracy: 0.9543417575
Detection Rate: 0.8589618265
False Positive Rate: 0.0100269552

--- Per-Round Attention Weights ---
Round 1: α = [0.0723937590276374, 0.04969439088690965, 0.04969439088690965, 0.04969439088690965, 0.04969439088690965, 0.04969439088690965, 0.04969439088690965, 0.04969439088690965, 0.04969439088690965, 0.09988328941547273, 0.04969439088690965, 0.07459319059455236, 0.07146055387662623, 0.10182711144878433, 0.04969439088690965, 0.08289818676783049]
  Client 0: DR=0.4245, FPR=0.1138, Score=0.3762
  Client 1: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 2: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 3: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 4: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 5: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 6: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 7: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 8: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 9: DR=0.8408, FPR=0.1697, Score=0.6981
  Client 10: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 11: DR=0.4134, FPR=0.0175, Score=0.4062
  Client 12: DR=0.3640, FPR=0.0020, Score=0.3633
  Client 13: DR=0.9991, FPR=0.2820, Score=0.7174
  Client 14: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 15: DR=0.5121, FPR=0.0008, Score=0.5117
Round 2: α = [0.062080293217717845, 0.062080293217717845, 0.062080293217717845, 0.062080293217717845, 0.062080293217717845, 0.07292487841264268, 0.062080293217717845, 0.062080293217717845, 0.062080293217717845, 0.062080293217717845, 0.06205251218801805, 0.06047703033227533, 0.062080293217717845, 0.062342077435120435, 0.06076823092734679, 0.060632338527418145]
  Client 0: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 1: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 2: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 3: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 4: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 5: DR=0.7974, FPR=0.0100, Score=0.7894
  Client 6: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 7: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 8: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 9: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 10: DR=0.6292, FPR=0.0019, Score=0.6280
  Client 11: DR=0.6037, FPR=0.0025, Score=0.6023
  Client 12: DR=0.6297, FPR=0.0019, Score=0.6284
  Client 13: DR=0.6346, FPR=0.0031, Score=0.6326
  Client 14: DR=0.6082, FPR=0.0018, Score=0.6071
  Client 15: DR=0.6060, FPR=0.0019, Score=0.6048
Round 3: α = [0.06252796819020745, 0.06252796819020745, 0.06252166738555409, 0.06252796819020745, 0.06252796819020745, 0.06252796819020745, 0.06252796819020745, 0.06252796819020745, 0.06252796819020745, 0.06252796819020745, 0.06250542082828646, 0.06234738924255994, 0.06252796819020745, 0.062495340508018304, 0.06251403596138806, 0.06233646417211862]
  Client 0: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 1: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 2: DR=0.8048, FPR=0.0096, Score=0.7971
  Client 3: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 4: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 5: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 6: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 7: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 8: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 9: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 10: DR=0.8049, FPR=0.0100, Score=0.7968
  Client 11: DR=0.8020, FPR=0.0096, Score=0.7943
  Client 12: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 13: DR=0.8057, FPR=0.0113, Score=0.7967
  Client 14: DR=0.8051, FPR=0.0101, Score=0.7970
  Client 15: DR=0.8022, FPR=0.0101, Score=0.7941
Round 4: α = [0.06250243481118213, 0.06250243481118213, 0.06250243481118213, 0.06250243481118213, 0.06250243481118213, 0.06250243481118213, 0.06250243481118213, 0.06250243481118213, 0.0624887237646194, 0.06250243481118213, 0.06250243481118213, 0.06251679761135422, 0.06250243481118213, 0.06250243481118213, 0.062469072444841185, 0.06249618844499966]
  Client 0: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 1: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 2: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 3: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 4: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 5: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 6: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 7: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 8: DR=0.8049, FPR=0.0096, Score=0.7972
  Client 9: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 10: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 11: DR=0.8053, FPR=0.0095, Score=0.7976
  Client 12: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 13: DR=0.8056, FPR=0.0101, Score=0.7974
  Client 14: DR=0.8049, FPR=0.0100, Score=0.7969
  Client 15: DR=0.8055, FPR=0.0101, Score=0.7973
Round 5: α = [0.06252668641985841, 0.06252668641985841, 0.06252668641985841, 0.06252668641985841, 0.06252913010300387, 0.06252668641985841, 0.06251995745590641, 0.06252668641985841, 0.06252668641985841, 0.06252668641985841, 0.06252668641985841, 0.062349289396236, 0.06250937488697664, 0.06252668641985841, 0.06247609456305694, 0.062349289396236]
  Client 0: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 1: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 2: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 3: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 4: DR=0.8058, FPR=0.0105, Score=0.7973
  Client 5: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 6: DR=0.8064, FPR=0.0114, Score=0.7972
  Client 7: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 8: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 9: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 10: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 11: DR=0.8035, FPR=0.0113, Score=0.7945
  Client 12: DR=0.8067, FPR=0.0120, Score=0.7970
  Client 13: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 14: DR=0.8060, FPR=0.0118, Score=0.7965
  Client 15: DR=0.8035, FPR=0.0113, Score=0.7945
Round 6: α = [0.0625208485531942, 0.0625208485531942, 0.06253143076958748, 0.0625208485531942, 0.0625208485531942, 0.06252079977778496, 0.0625208485531942, 0.0625208485531942, 0.0625208485531942, 0.0625208485531942, 0.0625208485531942, 0.062354068914168684, 0.06252079977778496, 0.0625208485531942, 0.0625208485531942, 0.062343566675537705]
  Client 0: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 1: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 2: DR=0.8064, FPR=0.0113, Score=0.7973
  Client 3: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 4: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 5: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 6: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 7: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 8: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 9: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 10: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 11: DR=0.8035, FPR=0.0113, Score=0.7945
  Client 12: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 13: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 14: DR=0.8067, FPR=0.0118, Score=0.7971
  Client 15: DR=0.8038, FPR=0.0118, Score=0.7943
Round 7: α = [0.06250592126086617, 0.06250617166444569, 0.06250592126086617, 0.06250592126086617, 0.06250592126086617, 0.06250592126086617, 0.06250592126086617, 0.06250592126086617, 0.06253460387722823, 0.06250592126086617, 0.06250592126086617, 0.062328583324142324, 0.0625454877441545, 0.06253064154587121, 0.06250592126086617, 0.0624952992354964]
  Client 0: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 1: DR=0.8067, FPR=0.0118, Score=0.7972
  Client 2: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 3: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 4: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 5: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 6: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 7: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 8: DR=0.8068, FPR=0.0114, Score=0.7976
  Client 9: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 10: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 11: DR=0.8034, FPR=0.0113, Score=0.7943
  Client 12: DR=0.8070, FPR=0.0114, Score=0.7978
  Client 13: DR=0.8071, FPR=0.0118, Score=0.7976
  Client 14: DR=0.8063, FPR=0.0113, Score=0.7972
  Client 15: DR=0.8065, FPR=0.0118, Score=0.7970
Round 8: α = [0.062490025945377024, 0.062490025945377024, 0.062490025945377024, 0.062490025945377024, 0.062490025945377024, 0.062490025945377024, 0.0625450246609162, 0.062490025945377024, 0.062490025945377024, 0.062490025945377024, 0.06248110135775345, 0.062489386147505016, 0.06249583661138735, 0.062490025945377024, 0.06254411573455687, 0.06254427603411084]
  Client 0: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 1: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 2: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 3: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 4: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 5: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 6: DR=0.8073, FPR=0.0105, Score=0.7988
  Client 7: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 8: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 9: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 10: DR=0.8070, FPR=0.0115, Score=0.7978
  Client 11: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 12: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 13: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 14: DR=0.8068, FPR=0.0100, Score=0.7988
  Client 15: DR=0.8068, FPR=0.0100, Score=0.7988
Round 9: α = [0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06249507468685839, 0.06247940102479261, 0.06247302549362967, 0.06255039181242654, 0.06256225587393376, 0.06249507468685839, 0.062489104239775134, 0.06249507468685839]
  Client 0: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 1: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 2: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 3: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 4: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 5: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 6: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 7: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 8: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 9: DR=0.8069, FPR=0.0113, Score=0.7977
  Client 10: DR=0.8072, FPR=0.0118, Score=0.7976
  Client 11: DR=0.8070, FPR=0.0100, Score=0.7989
  Client 12: DR=0.8071, FPR=0.0100, Score=0.7991
  Client 13: DR=0.8071, FPR=0.0113, Score=0.7980
  Client 14: DR=0.8070, FPR=0.0113, Score=0.7979
  Client 15: DR=0.8071, FPR=0.0113, Score=0.7980
Round 10: α = [0.06249956483596143, 0.06249956483596143, 0.06249956483596143, 0.06249956483596143, 0.06249956483596143, 0.06249956483596143, 0.06249956483596143, 0.06249449954222188, 0.06249956483596143, 0.06249956483596143, 0.0624916607991016, 0.06249956483596143, 0.062496806436498846, 0.06250624806762951, 0.06250888872730434, 0.06250624806762951]
  Client 0: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 1: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 2: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 3: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 4: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 5: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 6: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 7: DR=0.8073, FPR=0.0106, Score=0.7988
  Client 8: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 9: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 10: DR=0.8069, FPR=0.0102, Score=0.7987
  Client 11: DR=0.8070, FPR=0.0101, Score=0.7989
  Client 12: DR=0.8070, FPR=0.0102, Score=0.7988
  Client 13: DR=0.8070, FPR=0.0100, Score=0.7990
  Client 14: DR=0.8072, FPR=0.0102, Score=0.7990
  Client 15: DR=0.8070, FPR=0.0100, Score=0.7990
Round 11: α = [0.06246530268518103, 0.06246530268518103, 0.06246530268518103, 0.06246530268518103, 0.06244428239445591, 0.06246530268518103, 0.06246530268518103, 0.06246530268518103, 0.06246530268518103, 0.06246530268518103, 0.06246530268518103, 0.062453618760566036, 0.06246530268518103, 0.06276148955660736, 0.06276760130745286, 0.062454678443926534]
  Client 0: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 1: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 2: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 3: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 4: DR=0.8072, FPR=0.0107, Score=0.7986
  Client 5: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 6: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 7: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 8: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 9: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 10: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 11: DR=0.8069, FPR=0.0102, Score=0.7987
  Client 12: DR=0.8071, FPR=0.0102, Score=0.7989
  Client 13: DR=0.8119, FPR=0.0102, Score=0.8036
  Client 14: DR=0.8120, FPR=0.0102, Score=0.8037
  Client 15: DR=0.8074, FPR=0.0107, Score=0.7987
Round 12: α = [0.06252768060673047, 0.06252768060673047, 0.06252768060673047, 0.06252768060673047, 0.06252768060673047, 0.06252768060673047, 0.06252768060673047, 0.06253847567069468, 0.06252768060673047, 0.06252768060673047, 0.06252768060673047, 0.06227030258590502, 0.06257173448138509, 0.06255475004020133, 0.06252768060673047, 0.06226025054777872]
  Client 0: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 1: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 2: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 3: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 4: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 5: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 6: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 7: DR=0.8117, FPR=0.0102, Score=0.8035
  Client 8: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 9: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 10: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 11: DR=0.8074, FPR=0.0102, Score=0.7992
  Client 12: DR=0.8127, FPR=0.0107, Score=0.8040
  Client 13: DR=0.8124, FPR=0.0107, Score=0.8037
  Client 14: DR=0.8120, FPR=0.0107, Score=0.8033
  Client 15: DR=0.8072, FPR=0.0102, Score=0.7990
Round 13: α = [0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.06348106715296023, 0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.0622708987219026, 0.06348724553986382, 0.0622708987219026, 0.06351000392244213, 0.0622708987219026]
  Client 0: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 1: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 2: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 3: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 4: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 5: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 6: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 7: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 8: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 9: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 10: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 11: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 12: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 13: DR=0.8129, FPR=0.0102, Score=0.8047
  Client 14: DR=0.8328, FPR=0.0102, Score=0.8244
  Client 15: DR=0.8129, FPR=0.0102, Score=0.8047
Round 14: α = [0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.062498940372607295, 0.0625104509856809, 0.06249349836912615, 0.06250982580129807, 0.062498940372607295, 0.062498940372607295]
  Client 0: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 1: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 2: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 3: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 4: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 5: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 6: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 7: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 8: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 9: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 10: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 11: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 12: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 13: DR=0.8331, FPR=0.0107, Score=0.8242
  Client 14: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 15: DR=0.8329, FPR=0.0107, Score=0.8240
Round 15: α = [0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06249098640532341, 0.06249164080647509, 0.06250249577116249, 0.06250249577116249, 0.06250249577116249, 0.06251338773652065, 0.06249098640532341, 0.062485545163569994]
  Client 0: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 1: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 2: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 3: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 4: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 5: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 6: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 7: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 8: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 9: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 10: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 11: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 12: DR=0.8326, FPR=0.0102, Score=0.8242
  Client 13: DR=0.8328, FPR=0.0102, Score=0.8244
  Client 14: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 15: DR=0.8328, FPR=0.0107, Score=0.8239
Round 16: α = [0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.0624948979834575, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.06250034003965454, 0.0624948979834575, 0.06251122557377281, 0.0624948979834575]
  Client 0: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 1: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 2: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 3: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 4: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 5: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 6: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 7: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 8: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 9: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 10: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 11: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 12: DR=0.8329, FPR=0.0107, Score=0.8240
  Client 13: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 14: DR=0.8331, FPR=0.0107, Score=0.8242
  Client 15: DR=0.8328, FPR=0.0107, Score=0.8239
Round 17: α = [0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062291132845067564, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.062292939063119473, 0.0639503296671896, 0.0639503296671896]
  Client 0: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 1: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 2: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 3: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 4: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 5: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 6: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 7: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 8: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 9: DR=0.8328, FPR=0.0108, Score=0.8239
  Client 10: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 11: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 12: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 13: DR=0.8328, FPR=0.0107, Score=0.8239
  Client 14: DR=0.8594, FPR=0.0107, Score=0.8502
  Client 15: DR=0.8594, FPR=0.0107, Score=0.8502
Round 18: α = [0.062498718545371576, 0.062498718545371576, 0.062498718545371576, 0.062498718545371576, 0.062498718545371576, 0.062498718545371576, 0.062498718545371576, 0.06249903852318476, 0.062498718545371576, 0.06252168180801175, 0.062498718545371576, 0.06249903852318476, 0.062498718545371576, 0.062497168562845866, 0.06249903852318476, 0.06249684860587228]
  Client 0: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 1: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 2: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 3: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 4: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 5: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 6: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 7: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 8: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 9: DR=0.8594, FPR=0.0108, Score=0.8501
  Client 10: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 11: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 12: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 13: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 14: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 15: DR=0.8594, FPR=0.0112, Score=0.8497
Round 19: α = [0.06249934314407016, 0.06249934314407016, 0.06249934314407016, 0.06249934314407016, 0.0624990231759637, 0.06249934314407016, 0.06249934314407016, 0.06249934314407016, 0.06249934314407016, 0.06249934314407016, 0.062499663113814705, 0.06250521315827255, 0.06250334288361811, 0.062499663113814705, 0.06249934314407016, 0.062499663113814705]
  Client 0: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 1: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 2: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 3: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 4: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 5: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 6: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 7: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 8: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 9: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 10: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 11: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 12: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 13: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 14: DR=0.8594, FPR=0.0112, Score=0.8497
  Client 15: DR=0.8594, FPR=0.0112, Score=0.8497
Round 20: α = [0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247310673933976, 0.06247294682224106, 0.06268279666158987, 0.06247310673933976, 0.06269386890475222, 0.06247310673933976]
  Client 0: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 1: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 2: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 3: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 4: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 5: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 6: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 7: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 8: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 9: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 10: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 11: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 12: DR=0.8628, FPR=0.0112, Score=0.8532
  Client 13: DR=0.8594, FPR=0.0112, Score=0.8498
  Client 14: DR=0.8630, FPR=0.0112, Score=0.8533
  Client 15: DR=0.8594, FPR=0.0112, Score=0.8498
