round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8893266717736121,0.7125883887486626,0.04465005906914144,0.27550573107542564
2,0.9128571106705119,0.6863258346273127,0.002518492420711073,0.26645575278615224
3,0.9130120088320115,0.6866061545960647,0.0024101549565188124,0.26265773085296734
4,0.9144708678803173,0.6911105565047863,0.002089056367872066,0.2610178951432703
5,0.913899152847873,0.6911830494158852,0.002901347057720158,0.26015981323904575
6,0.9142089491708724,0.691876844744862,0.002735040726036838,0.2596420099150165
7,0.9143863779740448,0.691441821749204,0.0023288809698202018,0.25910692312784067
8,0.914231479812545,0.6906757141420836,0.0022553722930790075,0.25865095092613427
9,0.9143863779740447,0.6905825420958734,0.0020077837101383895,0.2584091351870209
10,0.9148961337418889,0.6911934441872072,0.0015358173905182025,0.25796985106586184
11,0.9145722557678443,0.691452204276481,0.002077396399017546,0.25781442296735974
12,0.9144032759552991,0.6907896075731954,0.002061901753935764,0.2576044265445174
13,0.9145919700793078,0.6905100373022056,0.0016982604175058314,0.2573869657269985
14,0.9144370719178082,0.6913074442144007,0.0022089080880065685,0.257214079028696
15,0.9147581335616438,0.6914004658329224,0.0018027382371549631,0.2571771109585631
16,0.914560990447008,0.6909758611250305,0.0019148827870312103,0.25690421876231495
17,0.914394826964672,0.6909657160784856,0.002139237663616571,0.2569951595866612
18,0.9147947458543619,0.691493555409665,0.0017871980594189691,0.2568671453836332
19,0.9143131533886084,0.6915454092058083,0.0024680946944300943,0.25672258249731267
20,0.9147243375991349,0.6915245090936767,0.0018955435100245397,0.2568027120222354
