round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9037614482533318,0.6524546864012044,0.00011450455180358098,0.11005858540806243
2,0.9121793644177585,0.6875139981023819,0.00042864199389455244,0.10779687470874283
3,0.9127848685915129,0.6898333805964828,0.00035232040054325827,0.1092336718611453
4,0.9134072705561627,0.6908398193809738,0.0003815891883229588,0.11012386586668621
5,0.9130327028579797,0.6899900157552208,0.00012763664921904385,0.11145623046155867
6,0.9127736033975825,0.6873696055994574,0.000151366750921695,0.11197393973854133
7,0.9141958341312846,0.6933868851965599,0.0002513339463642969,0.1132624854271489
8,0.9129397650080546,0.6890949049185922,0.00012248396335115118,0.11355434549749716
9,0.9143225675630007,0.6929150797189225,0.0003261532432412037,0.11566007428403584
10,0.9136579211211122,0.6902002561890437,0.00013379086606986145,0.11636030181659894
11,0.9123596075206435,0.688198757156359,8.279870842447699e-05,0.11770119858024874
12,0.9101769761966453,0.6780483246362397,2.8170219267904465e-05,0.11890553662211971
13,0.9126665840552446,0.6871243902860897,6.189533240150339e-05,0.11825377791954175
14,0.9090701708929919,0.6741059891635104,3.5745902852883375e-05,0.12317485048596072
15,0.910526197208485,0.679319156002278,2.776649130531315e-05,0.12033628245080989
