round,accuracy,detection_rate,false_positive_rate
1,0.9564962699450287,0.7300749339178363,0.007838369938287668
2,0.9584084382393844,0.6678391921016691,0.008130500837948265
3,0.9653314632234644,0.7260555105199262,0.008286319378541
4,0.9680664989068108,0.7187122826296457,0.004619538022610939
5,0.9185720372079811,0.7231172750294348,0.0034473316942493855
6,0.9614174508281106,0.6703160259939622,0.0050104875645860915
7,0.9294163592078353,0.7005953746943059,0.008795502688698912
8,0.9173560320954341,0.7253267139059789,0.004984222604379143
9,0.9194647170848298,0.9111036956784058,0.003761376584806791
10,0.9615330431484457,0.6673108808383261,0.004484057948082553
11,0.9615691657485506,0.6675254339029217,0.004484057948082553
12,0.9616016760886448,0.6684332715356895,0.004592646671647118
13,0.9197203440739273,0.9111293284841346,0.0029456563615956797
14,0.9682727610247102,0.7205346895513212,0.004365198788537965
15,0.9217525786372525,0.9131671365395773,0.0029456563615956797
16,0.9217397972877976,0.9131543201367129,0.0029456563615956797
17,0.9653078548593927,0.7561975258307113,0.007879728900189125
18,0.9200010651139672,0.726390625103798,0.0034473316942493855
19,0.921905954830711,0.9133209333739503,0.0029456563615956797
20,0.972307248050823,0.8207134700398939,0.008347261994793237
