round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.843393,0.085176,0.434159,0.320113,0.003828,0.002708
2,0.842546,0.084481,0.431384,0.317756,0.003892,0.002752
3,0.843855,0.086256,0.439410,0.325505,0.004817,0.003587
4,0.932310,0.001824,0.774254,0.006214,0.008590,0.000119
5,0.934548,0.001465,0.778726,0.000548,0.007112,0.002115
6,0.936603,0.000464,0.777864,0.001974,0.004050,0.000091
7,0.937577,0.002572,0.785733,0.015854,0.005723,0.002347
8,0.937879,0.002229,0.786803,0.014428,0.005636,0.002334
9,0.938003,0.002060,0.786942,0.014032,0.005609,0.002360
10,0.941035,0.000682,0.807437,0.002492,0.009045,0.000207
11,0.941751,0.000846,0.807005,0.000846,0.007865,0.001333
12,0.941999,0.001139,0.807569,0.002383,0.007841,0.001313
13,0.946176,0.002632,0.823724,0.014566,0.007992,0.001818
14,0.952062,0.002754,0.847543,0.010583,0.008909,0.000131
15,0.952612,0.001530,0.846878,0.009728,0.007847,0.001565
16,0.953059,0.001632,0.848372,0.007621,0.007834,0.000556
17,0.955320,0.000576,0.854198,0.001033,0.006860,0.001114
18,0.959546,0.002783,0.873444,0.014474,0.008264,0.001622
19,0.963078,0.000213,0.889617,0.000809,0.009463,0.000194
20,0.964052,0.000948,0.888997,0.001345,0.007929,0.000964
