round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.633246,0.447786,0.486795,0.347036,0.005095,0.003941
2,0.619692,0.439459,0.558797,0.396913,0.006165,0.004730
3,0.945153,0.041101,0.825033,0.043555,0.009698,0.007085
4,0.790290,0.164138,0.728459,0.117506,0.004480,0.003226
5,0.907513,0.060238,0.766052,0.107650,0.004936,0.002448
6,0.731371,0.185670,0.674034,0.135148,0.005628,0.004993
7,0.947936,0.033133,0.788415,0.081837,0.005271,0.002570
8,0.920317,0.044639,0.770740,0.076084,0.004449,0.003517
9,0.841347,0.189711,0.738561,0.125533,0.004859,0.001954
10,0.892583,0.039047,0.859257,0.019364,0.007414,0.006496
11,0.961470,0.017139,0.837855,0.121909,0.005335,0.003965
12,0.963194,0.018170,0.842470,0.126171,0.003976,0.003437
13,0.935084,0.034877,0.834987,0.158244,0.003679,0.003104
14,0.905676,0.046372,0.807296,0.098677,0.003650,0.003260
15,0.801248,0.161588,0.750524,0.125351,0.004113,0.003095
16,0.972477,0.011110,0.787495,0.075321,0.006047,0.002777
17,0.924981,0.056437,0.782059,0.071718,0.004747,0.003834
18,0.965352,0.018312,0.835859,0.039817,0.005232,0.002957
19,0.899460,0.020058,0.831023,0.081807,0.003850,0.003571
20,0.954608,0.029245,0.849003,0.050612,0.032238,0.036830
