round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.900041,0.008459,0.687027,0.037762,0.020383,0.023618,0.298315,0.002441
2,0.910856,0.000841,0.683419,0.002149,0.004180,0.001751,0.276563,0.001333
3,0.911831,0.001090,0.683412,0.003111,0.002838,0.001142,0.269838,0.001990
4,0.912912,0.000638,0.688130,0.004301,0.003117,0.001639,0.266725,0.001855
5,0.913380,0.000438,0.689494,0.003824,0.002983,0.001460,0.264880,0.001773
6,0.913672,0.000527,0.689673,0.005270,0.002649,0.001810,0.263593,0.001658
7,0.913726,0.000389,0.691496,0.003791,0.003256,0.001503,0.262784,0.001534
8,0.913777,0.000521,0.690750,0.003869,0.002906,0.001371,0.262143,0.001459
9,0.913929,0.000373,0.690747,0.004020,0.002696,0.001686,0.261596,0.001324
10,0.913975,0.000431,0.691668,0.003420,0.002977,0.001453,0.261122,0.001257
11,0.914067,0.000445,0.692438,0.003716,0.003140,0.001736,0.260770,0.001154
12,0.914435,0.000527,0.690139,0.000281,0.001776,0.000638,0.260456,0.001070
13,0.914426,0.000493,0.690326,0.000191,0.001857,0.000695,0.260067,0.000971
14,0.914238,0.000425,0.692824,0.003474,0.003048,0.001688,0.259774,0.000900
15,0.914213,0.000410,0.692421,0.003522,0.002932,0.001715,0.259654,0.000872
16,0.914254,0.000390,0.692365,0.003455,0.002855,0.001635,0.259363,0.000833
17,0.914621,0.000401,0.689894,0.000373,0.001427,0.000436,0.259200,0.000758
18,0.914670,0.000269,0.690036,0.000688,0.001413,0.000496,0.259004,0.000750
19,0.914226,0.000298,0.691827,0.004132,0.002692,0.001906,0.259013,0.000772
20,0.914246,0.000235,0.691385,0.004224,0.002500,0.001816,0.258799,0.000772
