round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.848638,0.044602,0.613788,0.255560,0.051535,0.072567,0.189712,0.050342
2,0.911366,0.001970,0.705303,0.060086,0.001893,0.002040,0.183053,0.049136
3,0.912376,0.001128,0.708553,0.055721,0.002412,0.001866,0.181838,0.048735
4,0.912379,0.000798,0.706938,0.057787,0.001635,0.001693,0.181192,0.048700
5,0.912779,0.001441,0.706489,0.056007,0.000841,0.000319,0.180901,0.048719
6,0.912872,0.000195,0.712844,0.052415,0.003533,0.002347,0.180522,0.048572
7,0.913048,0.000639,0.705817,0.055046,0.000609,0.000394,0.180297,0.048628
8,0.913156,0.000429,0.713313,0.052649,0.003360,0.002258,0.180128,0.048565
9,0.913103,0.000031,0.711346,0.047704,0.002369,0.002479,0.179862,0.048472
10,0.912302,0.001315,0.709190,0.050088,0.001712,0.001683,0.179645,0.048433
11,0.912693,0.000816,0.709395,0.050405,0.001842,0.001640,0.179562,0.048360
12,0.912702,0.001657,0.710580,0.047133,0.001695,0.001768,0.179496,0.048479
13,0.912861,0.000694,0.705055,0.055120,0.000440,0.000317,0.179442,0.048290
14,0.912646,0.001441,0.706062,0.053460,0.000443,0.000113,0.179389,0.048326
15,0.913216,0.001092,0.706512,0.052648,0.000529,0.000267,0.179479,0.048391
16,0.912689,0.001217,0.705831,0.053102,0.000551,0.000266,0.179309,0.048279
17,0.912667,0.001185,0.709936,0.049764,0.001684,0.001701,0.179299,0.048251
18,0.913330,0.001099,0.710869,0.048788,0.001677,0.001605,0.179394,0.048398
19,0.912213,0.001585,0.704938,0.053176,0.000382,0.000097,0.179339,0.048311
20,0.912351,0.001501,0.705827,0.053118,0.000585,0.000069,0.179222,0.048313
