round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.913436,0.000331,0.688361,0.004716,0.002484,0.002011,0.266237,0.001196
2,0.914359,0.000070,0.688531,0.000130,0.001278,0.000105,0.258612,0.001265
3,0.914928,0.000213,0.690543,0.001256,0.001248,0.000216,0.257769,0.001861
4,0.915079,0.000212,0.691185,0.001243,0.001280,0.000214,0.257573,0.002320
5,0.915382,0.000146,0.691917,0.000820,0.001139,0.000106,0.257237,0.002798
6,0.916078,0.001004,0.694081,0.003589,0.000990,0.000069,0.257368,0.003241
7,0.916082,0.000940,0.694281,0.003742,0.001060,0.000164,0.257966,0.004056
8,0.916587,0.001701,0.695806,0.006249,0.000936,0.000066,0.258389,0.004609
9,0.916461,0.001475,0.695337,0.005357,0.000934,0.000133,0.258389,0.004431
10,0.916739,0.002032,0.697304,0.008090,0.001287,0.000295,0.259848,0.006236
11,0.916935,0.002094,0.696983,0.007472,0.000897,0.000085,0.259712,0.005438
12,0.916988,0.002177,0.697118,0.007838,0.000876,0.000071,0.260858,0.007121
13,0.917099,0.002429,0.697629,0.008444,0.000914,0.000190,0.260599,0.006881
14,0.916963,0.002099,0.696876,0.007592,0.000820,0.000047,0.260998,0.006881
15,0.916720,0.001804,0.695993,0.006387,0.000823,0.000093,0.261679,0.008147
16,0.916740,0.001786,0.696013,0.006328,0.000803,0.000090,0.261560,0.007292
17,0.916919,0.001942,0.696541,0.007038,0.000754,0.000039,0.260867,0.007315
18,0.916858,0.001618,0.696292,0.005732,0.000745,0.000081,0.260904,0.007221
19,0.917109,0.001612,0.697124,0.005889,0.000712,0.000014,0.263528,0.008809
20,0.916873,0.001194,0.696327,0.004425,0.000738,0.000015,0.261748,0.006993
