round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.659286,0.273877,0.724183,0.212680,0.289724,0.350253,0.081349,0.081043
2,0.612710,0.176732,0.893734,0.137114,0.441694,0.246307,0.163385,0.073979
3,0.602804,0.204661,0.905545,0.130184,0.460714,0.255283,0.079362,0.065391
4,0.535672,0.059424,0.993061,0.007967,0.581371,0.026038,0.062225,0.010717
5,0.621485,0.201622,0.870977,0.182465,0.411200,0.290655,0.025676,0.015227
6,0.724758,0.194378,0.794139,0.148048,0.245099,0.235882,0.110398,0.064353
7,0.894593,0.003004,0.642682,0.075092,0.000116,0.000075,0.023653,0.010497
8,0.885259,0.003619,0.746072,0.032560,0.055212,0.041241,0.169455,0.099076
9,0.792847,0.084602,0.797540,0.106223,0.185586,0.137941,0.085376,0.030932
10,0.567362,0.224974,0.954810,0.055889,0.508480,0.227681,0.081858,0.066909
11,0.585159,0.213910,0.899627,0.141949,0.483635,0.303083,0.111551,0.090929
12,0.764882,0.194265,0.724720,0.165976,0.178335,0.252161,0.044856,0.019266
13,0.519306,0.204240,0.968003,0.045251,0.573507,0.207677,0.054397,0.040297
14,0.574060,0.260887,0.882045,0.166814,0.466250,0.334232,0.047828,0.014800
15,0.702398,0.282758,0.752651,0.181213,0.250497,0.354231,0.044838,0.016095
16,0.591452,0.253151,0.912438,0.115700,0.504307,0.405460,0.095663,0.061781
17,0.630094,0.261918,0.772804,0.161510,0.354861,0.311226,0.093945,0.071622
18,0.871624,0.047999,0.719688,0.117637,0.050020,0.070527,0.069449,0.050071
19,0.605377,0.187131,0.899837,0.141652,0.437331,0.261281,0.056005,0.031016
20,0.594469,0.255696,0.860453,0.195427,0.451399,0.330251,0.052782,0.062019
