round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.874903,0.041748,0.710834,0.067714,0.063805,0.082463,0.305791,0.003791
2,0.902692,0.011950,0.653373,0.048951,0.004169,0.001921,0.280651,0.002650
3,0.903098,0.011952,0.654364,0.050687,0.003982,0.002541,0.272846,0.002649
4,0.902239,0.014496,0.650426,0.052255,0.003690,0.001514,0.269528,0.002638
5,0.904059,0.013319,0.654520,0.045798,0.002719,0.001236,0.267369,0.002512
6,0.902771,0.015503,0.648998,0.053839,0.002425,0.001216,0.265904,0.002264
7,0.902165,0.016743,0.647441,0.058925,0.002676,0.000995,0.264793,0.002057
8,0.902103,0.017095,0.646847,0.059917,0.002539,0.001107,0.263839,0.001903
9,0.902645,0.016723,0.648552,0.058287,0.002432,0.001201,0.263205,0.001735
10,0.902396,0.016872,0.647679,0.058873,0.002447,0.001199,0.262717,0.001678
11,0.902435,0.017343,0.647530,0.060521,0.002339,0.001231,0.262198,0.001583
12,0.902320,0.017332,0.646771,0.060259,0.002213,0.001296,0.261791,0.001500
13,0.903383,0.015979,0.651783,0.054478,0.002625,0.001599,0.261504,0.001494
14,0.902831,0.016836,0.651517,0.054757,0.003284,0.002670,0.261171,0.001434
15,0.902844,0.016759,0.651041,0.055135,0.003088,0.002425,0.260956,0.001447
16,0.901584,0.018853,0.646747,0.062335,0.003215,0.002610,0.260821,0.001407
17,0.902793,0.017075,0.652100,0.054096,0.003554,0.003246,0.260554,0.001348
18,0.902373,0.017767,0.650330,0.057104,0.003470,0.003072,0.260339,0.001303
19,0.902034,0.018045,0.651949,0.053867,0.004540,0.004663,0.260151,0.001224
20,0.900618,0.020329,0.656636,0.048250,0.008236,0.009899,0.259916,0.001136
