round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.769533,0.031089,0.235787,0.215824,0.000011,0.000008,0.061849,0.028227
2,0.851346,0.008013,0.557400,0.112839,0.000781,0.000692,0.071361,0.028926
3,0.871213,0.011072,0.602044,0.095942,0.000488,0.000339,0.060092,0.027072
4,0.878717,0.011774,0.622399,0.074676,0.000281,0.000161,0.059039,0.026816
5,0.877301,0.009465,0.613546,0.084341,0.000501,0.000329,0.057643,0.026292
6,0.881102,0.009599,0.625184,0.080599,0.001133,0.001268,0.057083,0.025836
7,0.886104,0.009843,0.633781,0.078035,0.001214,0.001196,0.056855,0.025955
8,0.895612,0.016144,0.655616,0.059709,0.000306,0.000200,0.056744,0.025526
9,0.890861,0.011961,0.663059,0.059618,0.000304,0.000221,0.055964,0.025877
10,0.893647,0.007457,0.663735,0.063766,0.000234,0.000123,0.055780,0.025953
11,0.892320,0.009241,0.666040,0.062301,0.000982,0.001085,0.055271,0.025545
12,0.890232,0.012903,0.665127,0.055701,0.000386,0.000147,0.055587,0.025466
13,0.895323,0.007888,0.672679,0.062360,0.000282,0.000151,0.055743,0.025317
14,0.900997,0.012567,0.690356,0.066012,0.000229,0.000104,0.055497,0.025737
15,0.897073,0.017341,0.690125,0.064116,0.001296,0.001642,0.055543,0.025643
16,0.884056,0.011478,0.652778,0.059494,0.000248,0.000214,0.055908,0.025462
17,0.901313,0.007537,0.695892,0.075881,0.002434,0.002172,0.056214,0.025301
18,0.904137,0.008012,0.696888,0.076719,0.001327,0.001453,0.055893,0.025666
19,0.907555,0.005336,0.703136,0.079162,0.001789,0.001721,0.056042,0.025897
20,0.904834,0.007526,0.693443,0.075271,0.000967,0.001083,0.055547,0.025876
