round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.913106,0.000469,0.691810,0.003086,0.004224,0.001705,0.269473,0.001945
2,0.914248,0.000135,0.688774,0.000315,0.001520,0.000205,0.259514,0.000883
3,0.914963,0.000366,0.691435,0.001032,0.001533,0.000158,0.258257,0.001272
4,0.915334,0.000477,0.692567,0.000911,0.001447,0.000316,0.258240,0.001207
5,0.915500,0.000418,0.692999,0.000614,0.001380,0.000355,0.258399,0.001403
6,0.914893,0.000350,0.697264,0.003395,0.003807,0.001561,0.258595,0.001485
7,0.915526,0.000877,0.696056,0.002319,0.002486,0.001779,0.259199,0.001580
8,0.916320,0.001212,0.695518,0.003590,0.001194,0.000332,0.259881,0.002107
9,0.916736,0.001707,0.696982,0.005517,0.001170,0.000319,0.260150,0.001634
10,0.916610,0.001407,0.696371,0.004416,0.001114,0.000290,0.260873,0.002080
11,0.916792,0.001797,0.698200,0.007034,0.001549,0.000161,0.261412,0.002311
12,0.917090,0.002067,0.698131,0.006805,0.001113,0.000314,0.261312,0.002090
13,0.915902,0.000537,0.699387,0.008441,0.003215,0.002424,0.262298,0.003232
14,0.916853,0.001668,0.699014,0.007901,0.001769,0.000682,0.262404,0.003922
15,0.916073,0.000381,0.699997,0.009606,0.003207,0.003070,0.263283,0.002370
16,0.917340,0.002214,0.698610,0.007609,0.000949,0.000198,0.263538,0.002966
17,0.917263,0.002070,0.698165,0.007173,0.000888,0.000167,0.263739,0.002421
18,0.917467,0.002310,0.698907,0.008061,0.000886,0.000166,0.264710,0.002656
19,0.917337,0.002155,0.698379,0.007500,0.000867,0.000158,0.266902,0.004444
20,0.917279,0.002028,0.698082,0.007144,0.000836,0.000125,0.264931,0.002769
