round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.493332,0.149767,0.994627,0.007598,0.655622,0.213091,0.137360,0.082643
2,0.557923,0.102347,0.991728,0.011698,0.569875,0.158455,0.128145,0.095084
3,0.660776,0.183513,0.839378,0.216569,0.386773,0.276783,0.049840,0.040504
4,0.776427,0.180538,0.845793,0.126928,0.220585,0.293375,0.148449,0.131681
5,0.594074,0.195294,0.902136,0.138400,0.489861,0.267182,0.126602,0.099901
6,0.818431,0.109757,0.633057,0.258114,0.134280,0.189567,0.134972,0.086981
7,0.785384,0.174924,0.760505,0.240996,0.206270,0.289278,0.137521,0.079643
8,0.726937,0.124698,0.792537,0.276247,0.303053,0.219378,0.141624,0.073471
9,0.783737,0.180857,0.801928,0.187265,0.209092,0.295281,0.129167,0.135193
10,0.693547,0.291200,0.689161,0.219888,0.304598,0.391199,0.095017,0.086704
11,0.804545,0.135821,0.748044,0.253477,0.171777,0.242830,0.064111,0.041377
12,0.904464,0.009256,0.640079,0.164284,0.004819,0.006010,0.137607,0.076974
13,0.495763,0.115676,0.994622,0.007455,0.640749,0.114837,0.098524,0.044850
14,0.734187,0.245921,0.669465,0.244488,0.246445,0.345885,0.117765,0.091411
15,0.578368,0.032559,0.995401,0.004151,0.545768,0.060935,0.339831,0.153276
16,0.773125,0.179465,0.843748,0.124930,0.221717,0.294322,0.110266,0.135804
17,0.630852,0.014656,0.986293,0.001647,0.472898,0.039926,0.250811,0.080518
18,0.782093,0.173156,0.755614,0.246099,0.205537,0.290529,0.087381,0.054997
19,0.783051,0.182915,0.657298,0.247182,0.192249,0.270442,0.129556,0.119743
20,0.801782,0.134991,0.724351,0.201396,0.181448,0.207417,0.194835,0.108445
