round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.886446,0.015511,0.504684,0.152608,0.000038,0.000054,0.089384,0.014862
2,0.902330,0.010775,0.564955,0.159531,0.000206,0.000175,0.090429,0.013015
3,0.904139,0.010325,0.573983,0.162396,0.000213,0.000153,0.090402,0.013938
4,0.906594,0.007391,0.579318,0.155660,0.000319,0.000083,0.090285,0.014336
5,0.904983,0.009201,0.576137,0.159675,0.000399,0.000336,0.090775,0.014892
6,0.907087,0.005341,0.580015,0.150687,0.000211,0.000049,0.091097,0.014904
7,0.906735,0.006370,0.574976,0.149576,0.000139,0.000101,0.091501,0.015513
8,0.908183,0.004131,0.582844,0.148072,0.000187,0.000046,0.091911,0.015383
9,0.908413,0.004862,0.578292,0.145673,0.000268,0.000050,0.092664,0.016355
10,0.908042,0.004000,0.572411,0.137368,0.000103,0.000048,0.092911,0.016690
11,0.907009,0.004093,0.571006,0.135839,0.000140,0.000062,0.093456,0.017221
12,0.905278,0.005608,0.549771,0.122358,0.000099,0.000086,0.094108,0.017594
13,0.906755,0.004331,0.564384,0.133766,0.000115,0.000069,0.094216,0.017125
14,0.907023,0.002095,0.562793,0.127563,0.000116,0.000075,0.096147,0.019175
15,0.908510,0.002242,0.577361,0.134129,0.000158,0.000092,0.095147,0.017857
