round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.858164,0.066305,0.491277,0.247770,0.004700,0.001576
2,0.856919,0.065804,0.486822,0.245129,0.004803,0.001333
3,0.858404,0.067054,0.494786,0.252983,0.005711,0.002341
4,0.933536,0.000567,0.779276,0.001925,0.008858,0.000216
5,0.934246,0.001791,0.777950,0.001323,0.007327,0.002235
6,0.936749,0.000683,0.777867,0.002670,0.004059,0.000092
7,0.938093,0.002401,0.787457,0.015149,0.005578,0.002454
8,0.938065,0.002226,0.787843,0.014271,0.005835,0.002287
9,0.938510,0.002122,0.788699,0.014016,0.005458,0.002358
10,0.940793,0.000642,0.806628,0.003248,0.009108,0.000268
11,0.941751,0.000772,0.806917,0.000948,0.007834,0.001324
12,0.941548,0.001095,0.806219,0.002321,0.007943,0.001436
13,0.946334,0.003071,0.824086,0.015683,0.007946,0.001635
14,0.951841,0.002290,0.846338,0.009171,0.008782,0.000291
15,0.952167,0.001919,0.845420,0.011156,0.007983,0.001539
16,0.952997,0.001470,0.847125,0.008101,0.007396,0.001055
17,0.954935,0.001107,0.852025,0.001360,0.006672,0.001100
18,0.959713,0.002587,0.873134,0.013221,0.007933,0.001378
19,0.963168,0.000429,0.888819,0.001138,0.009041,0.000487
20,0.964105,0.000799,0.888917,0.000857,0.007794,0.000909
