round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.909935,0.057979,0.804137,0.046564,0.060585,0.051573
2,0.952024,0.039288,0.846803,0.068275,0.132413,0.178414
3,0.969078,0.022206,0.755461,0.153806,0.036825,0.050907
4,0.979872,0.008505,0.799968,0.159647,0.069149,0.092501
5,0.945311,0.065577,0.870253,0.028393,0.033732,0.021640
6,0.974114,0.009837,0.934337,0.047298,0.201669,0.251694
7,0.979016,0.013361,0.810310,0.158842,0.131258,0.175582
8,0.970000,0.019714,0.902094,0.064818,0.198400,0.274498
9,0.969475,0.027411,0.841188,0.034429,0.004737,0.001166
10,0.971277,0.008881,0.813881,0.159012,0.133702,0.186332
11,0.992348,0.001560,0.727112,0.112058,0.004498,0.003355
12,0.976101,0.006286,0.760516,0.134223,0.068621,0.094086
13,0.944110,0.060386,0.807377,0.033434,0.033298,0.022069
14,0.982266,0.009658,0.880408,0.109802,0.047184,0.065467
15,0.966741,0.021330,0.819376,0.080462,0.091261,0.126496
16,0.971924,0.028087,0.825000,0.075763,0.016578,0.023036
17,0.958960,0.020264,0.853585,0.052771,0.052314,0.054268
18,0.979607,0.009370,0.833989,0.063719,0.052130,0.065310
19,0.979085,0.013177,0.825989,0.060517,0.026377,0.032045
20,0.987748,0.003458,0.804159,0.056109,0.046115,0.056761
