round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.744739,0.166522,0.731122,0.255870,0.205268,0.290073,0.078160,0.048822
2,0.780099,0.177193,0.815496,0.166976,0.199721,0.277388,0.083099,0.065970
3,0.873794,0.027484,0.671702,0.166690,0.048063,0.038220,0.195264,0.065905
4,0.791266,0.130116,0.845194,0.112362,0.198056,0.209795,0.155677,0.120625
5,0.890696,0.014125,0.669722,0.156771,0.019155,0.024925,0.117588,0.081251
6,0.863353,0.054538,0.680752,0.161611,0.062336,0.087967,0.057421,0.034157
7,0.884927,0.034810,0.714423,0.100776,0.041842,0.057715,0.102989,0.064272
8,0.892888,0.015099,0.670877,0.161027,0.017178,0.019393,0.099988,0.086315
9,0.772356,0.179130,0.837651,0.160713,0.222446,0.271539,0.071994,0.023037
10,0.773454,0.123482,0.868254,0.093308,0.234668,0.214031,0.082389,0.032319
11,0.870741,0.056583,0.752344,0.128061,0.078919,0.111009,0.085834,0.025699
12,0.696117,0.293831,0.720408,0.197735,0.292656,0.407801,0.169065,0.060423
13,0.808249,0.139675,0.805219,0.177174,0.171801,0.242420,0.097331,0.039563
14,0.686156,0.161126,0.948396,0.067391,0.365636,0.259786,0.078842,0.023305
15,0.902724,0.007900,0.657769,0.142580,0.000361,0.000188,0.037374,0.018069
16,0.695979,0.297700,0.717385,0.201051,0.292482,0.412396,0.107493,0.060170
17,0.809489,0.140579,0.808773,0.171766,0.163503,0.229727,0.076620,0.031457
18,0.572245,0.263205,0.868515,0.185947,0.490179,0.364839,0.091468,0.068185
19,0.875830,0.046284,0.742951,0.096781,0.061208,0.077927,0.158150,0.094222
20,0.906972,0.008379,0.673960,0.141722,0.002364,0.002125,0.153011,0.055502
