config,num_seeds,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
AttentionFedXgb/XGBoost/iid/12/frac_1.0,3,0.965954,0.000164,0.888324,0.001219,0.005045,0.000647
AttentionFedXgb/XGBoost/iid/16/frac_1.0,3,0.966177,0.000103,0.889249,0.001584,0.005085,0.000643
AttentionFedXgb/XGBoost/iid/2/frac_1.0,3,0.936531,0.000108,0.777313,0.000412,0.003989,0.000114
AttentionFedXgb/XGBoost/iid/20/frac_1.0,3,0.967202,0.000267,0.894344,0.001066,0.005580,0.000755
AttentionFedXgb/XGBoost/iid/4/frac_1.0,3,0.940078,0.002413,0.798548,0.014766,0.007050,0.002224
AttentionFedXgb/XGBoost/iid/8/frac_1.0,3,0.963185,0.000080,0.889387,0.001200,0.009246,0.000398
AttentionFedXgb/XGBoost/non-iid/12/frac_0.4,3,0.950721,0.006368,0.839519,0.027282,0.007737,0.001619
AttentionFedXgb/XGBoost/non-iid/12/frac_1.0,3,0.956474,0.006536,0.860450,0.025267,0.007654,0.000632
AttentionFedXgb/XGBoost/non-iid/16/frac_0.4,3,0.945815,0.015712,0.823064,0.058637,0.008328,0.000667
AttentionFedXgb/XGBoost/non-iid/16/frac_1.0,3,0.960369,0.004265,0.876729,0.012752,0.008386,0.001560
AttentionFedXgb/XGBoost/non-iid/2/frac_0.4,3,0.936967,0.029278,0.788704,0.109849,0.007646,0.001188
AttentionFedXgb/XGBoost/non-iid/2/frac_1.0,3,0.932337,0.025814,0.771961,0.096856,0.007751,0.001080
AttentionFedXgb/XGBoost/non-iid/20/frac_0.4,3,0.962233,0.001087,0.882859,0.005820,0.008115,0.001128
AttentionFedXgb/XGBoost/non-iid/20/frac_1.0,3,0.962991,0.001586,0.882997,0.005729,0.007126,0.000107
AttentionFedXgb/XGBoost/non-iid/4/frac_0.4,3,0.930528,0.031251,0.760590,0.119608,0.005988,0.002479
AttentionFedXgb/XGBoost/non-iid/4/frac_1.0,3,0.935294,0.029186,0.779445,0.114425,0.006485,0.002668
AttentionFedXgb/XGBoost/non-iid/8/frac_0.4,3,0.946579,0.007157,0.826364,0.025351,0.008512,0.000504
AttentionFedXgb/XGBoost/non-iid/8/frac_1.0,3,0.959424,0.004174,0.873385,0.016540,0.008434,0.000583
FedAvg/CNN/iid/12/frac_1.0,3,0.914657,0.000195,0.692867,0.004479,0.002488,0.001866
FedAvg/CNN/iid/16/frac_1.0,3,0.902665,0.017669,0.647718,0.061249,0.002094,0.001392
FedAvg/CNN/iid/2/frac_1.0,3,0.917135,0.002091,0.697893,0.007329,0.000961,0.000178
FedAvg/CNN/iid/20/frac_1.0,3,0.914701,0.000514,0.689583,0.002739,0.001201,0.000479
FedAvg/CNN/iid/4/frac_1.0,3,0.915413,0.000190,0.691489,0.000679,0.000935,0.000295
FedAvg/CNN/iid/8/frac_1.0,3,0.915202,0.000029,0.690340,0.000694,0.000795,0.000269
FedAvg/CNN/non-iid/12/frac_0.4,3,0.850048,0.038127,0.449193,0.140568,0.000204,0.000144
FedAvg/CNN/non-iid/12/frac_1.0,3,0.899148,0.004156,0.652865,0.044107,0.008848,0.012397
FedAvg/CNN/non-iid/16/frac_0.4,3,0.867207,0.028795,0.511841,0.105913,0.000038,0.000020
FedAvg/CNN/non-iid/16/frac_1.0,3,0.889675,0.024052,0.595279,0.088839,0.000347,0.000319
FedAvg/CNN/non-iid/2/frac_0.4,3,0.912745,0.001543,0.680805,0.005487,0.000609,0.000144
FedAvg/CNN/non-iid/2/frac_1.0,3,0.906011,0.009793,0.655889,0.036394,0.000550,0.000149
FedAvg/CNN/non-iid/20/frac_0.4,3,0.840234,0.059571,0.655723,0.128790,0.090838,0.128300
FedAvg/CNN/non-iid/20/frac_1.0,3,0.892438,0.016504,0.605397,0.060762,0.000331,0.000112
FedAvg/CNN/non-iid/4/frac_0.4,3,0.614632,0.218570,0.893372,0.150795,0.489498,0.354852
FedAvg/CNN/non-iid/4/frac_1.0,3,0.882237,0.028764,0.568723,0.105994,0.000643,0.000329
FedAvg/CNN/non-iid/8/frac_0.4,3,0.782439,0.123437,0.677143,0.233228,0.178226,0.251452
FedAvg/CNN/non-iid/8/frac_1.0,3,0.895574,0.014734,0.617765,0.055559,0.000644,0.000552
FedAvg/DNN/iid/12/frac_1.0,3,0.917299,0.001148,0.697884,0.004224,0.000733,0.000013
FedAvg/DNN/iid/16/frac_1.0,3,0.917575,0.002208,0.698958,0.007877,0.000756,0.000109
FedAvg/DNN/iid/2/frac_1.0,3,0.920250,0.000653,0.708126,0.002623,0.000507,0.000085
FedAvg/DNN/iid/20/frac_1.0,3,0.917049,0.001675,0.697349,0.005487,0.000877,0.000260
FedAvg/DNN/iid/4/frac_1.0,3,0.918361,0.001464,0.704536,0.008512,0.001760,0.001785
FedAvg/DNN/iid/8/frac_1.0,3,0.919162,0.000385,0.704473,0.001225,0.000636,0.000072
FedAvg/DNN/non-iid/12/frac_0.4,3,0.594752,0.255796,0.874840,0.172867,0.509881,0.407652
FedAvg/DNN/non-iid/12/frac_1.0,3,0.902020,0.002608,0.663190,0.017090,0.008759,0.009762
FedAvg/DNN/non-iid/16/frac_0.4,3,0.911589,0.001599,0.676588,0.005133,0.000621,0.000285
FedAvg/DNN/non-iid/16/frac_1.0,3,0.909438,0.005281,0.667589,0.019755,0.000215,0.000160
FedAvg/DNN/non-iid/2/frac_0.4,3,0.915138,0.001079,0.688976,0.003950,0.000374,0.000084
FedAvg/DNN/non-iid/2/frac_1.0,3,0.913799,0.001825,0.692116,0.005829,0.003387,0.004420
FedAvg/DNN/non-iid/20/frac_0.4,3,0.907302,0.001054,0.659432,0.003927,0.000100,0.000033
FedAvg/DNN/non-iid/20/frac_1.0,3,0.910016,0.003375,0.669729,0.012658,0.000220,0.000103
FedAvg/DNN/non-iid/4/frac_0.4,3,0.910972,0.006945,0.673835,0.025661,0.000440,0.000060
FedAvg/DNN/non-iid/4/frac_1.0,3,0.898506,0.011010,0.675271,0.058044,0.018099,0.020796
FedAvg/DNN/non-iid/8/frac_0.4,3,0.660550,0.174831,0.887042,0.159729,0.424061,0.299812
FedAvg/DNN/non-iid/8/frac_1.0,3,0.905058,0.000701,0.670397,0.029354,0.007280,0.010107
FedProx/CNN/iid/12/frac_1.0/mu_1.0,3,0.915049,0.000278,0.691414,0.000728,0.001407,0.000517
FedProx/CNN/iid/16/frac_1.0/mu_1.0,3,0.900635,0.020446,0.656403,0.048953,0.008127,0.009797
FedProx/CNN/iid/2/frac_1.0/mu_1.0,3,0.917152,0.001962,0.698354,0.007301,0.001111,0.000057
FedProx/CNN/iid/20/frac_1.0/mu_1.0,3,0.914844,0.000420,0.689884,0.002091,0.001117,0.000280
FedProx/CNN/iid/4/frac_1.0/mu_1.0,3,0.915295,0.000147,0.691649,0.000792,0.001156,0.000445
FedProx/CNN/iid/8/frac_1.0/mu_1.0,3,0.914990,0.000056,0.691141,0.001874,0.001386,0.000762
FedProx/CNN/non-iid/12/frac_0.4/mu_1.0,3,0.562566,0.244920,0.917451,0.115800,0.570010,0.375547
FedProx/CNN/non-iid/12/frac_1.0/mu_1.0,3,0.904954,0.007758,0.653920,0.026396,0.001267,0.001503
FedProx/CNN/non-iid/16/frac_0.4/mu_1.0,3,0.737253,0.230970,0.760535,0.169448,0.271445,0.379998
FedProx/CNN/non-iid/16/frac_1.0/mu_1.0,3,0.895058,0.016974,0.614631,0.062534,0.000183,0.000135
FedProx/CNN/non-iid/2/frac_0.4/mu_1.0,3,0.914009,0.002512,0.685414,0.008822,0.000594,0.000163
FedProx/CNN/non-iid/2/frac_1.0/mu_1.0,3,0.914649,0.001712,0.687885,0.005721,0.000639,0.000215
FedProx/CNN/non-iid/20/frac_0.4/mu_1.0,3,0.798957,0.115998,0.682779,0.199949,0.157642,0.222769
FedProx/CNN/non-iid/20/frac_1.0/mu_1.0,3,0.883530,0.028349,0.572442,0.104412,0.000257,0.000167
FedProx/CNN/non-iid/4/frac_0.4/mu_1.0,3,0.676254,0.282713,0.694493,0.241775,0.330559,0.466906
FedProx/CNN/non-iid/4/frac_1.0/mu_1.0,3,0.885479,0.040515,0.580202,0.149443,0.000479,0.000210
FedProx/CNN/non-iid/8/frac_0.4/mu_1.0,3,0.702875,0.247958,0.828736,0.125327,0.344143,0.386541
FedProx/CNN/non-iid/8/frac_1.0/mu_1.0,3,0.865535,0.028586,0.571227,0.148659,0.024520,0.029908
FedProx/DNN/iid/12/frac_1.0/mu_1.0,3,0.917247,0.001059,0.697616,0.003714,0.000706,0.000067
FedProx/DNN/iid/16/frac_1.0/mu_1.0,3,0.917338,0.001955,0.698205,0.006903,0.000801,0.000107
FedProx/DNN/iid/2/frac_1.0/mu_1.0,3,0.919943,0.000300,0.706919,0.001228,0.000478,0.000059
FedProx/DNN/iid/20/frac_1.0/mu_1.0,3,0.917114,0.001793,0.697547,0.006155,0.000862,0.000168
FedProx/DNN/iid/4/frac_1.0/mu_1.0,3,0.920245,0.000443,0.709275,0.002826,0.000943,0.000578
FedProx/DNN/iid/8/frac_1.0/mu_1.0,3,0.917542,0.002764,0.709907,0.006003,0.004892,0.006025
FedProx/DNN/non-iid/12/frac_0.4/mu_1.0,3,0.901763,0.002843,0.639108,0.010757,0.000117,0.000118
FedProx/DNN/non-iid/12/frac_1.0/mu_1.0,3,0.902864,0.003053,0.668103,0.024246,0.009436,0.013207
FedProx/DNN/non-iid/16/frac_0.4/mu_1.0,3,0.682087,0.167762,0.893239,0.146849,0.396794,0.284371
FedProx/DNN/non-iid/16/frac_1.0/mu_1.0,3,0.909873,0.005637,0.668937,0.020931,0.000120,0.000080
FedProx/DNN/non-iid/2/frac_0.4/mu_1.0,3,0.915786,0.001103,0.691351,0.004128,0.000371,0.000065
FedProx/DNN/non-iid/2/frac_1.0/mu_1.0,3,0.914008,0.001280,0.688092,0.003263,0.001596,0.001823
FedProx/DNN/non-iid/20/frac_0.4/mu_1.0,3,0.822475,0.095149,0.724090,0.027126,0.140770,0.139699
FedProx/DNN/non-iid/20/frac_1.0/mu_1.0,3,0.909462,0.003138,0.667440,0.011542,0.000125,0.000015
FedProx/DNN/non-iid/4/frac_0.4/mu_1.0,3,0.659928,0.174054,0.902573,0.137783,0.430718,0.290547
FedProx/DNN/non-iid/4/frac_1.0/mu_1.0,3,0.910814,0.002982,0.690484,0.017999,0.006877,0.009276
FedProx/DNN/non-iid/8/frac_0.4/mu_1.0,3,0.801718,0.135027,0.811038,0.129795,0.201764,0.233943
FedProx/DNN/non-iid/8/frac_1.0/mu_1.0,3,0.904652,0.000941,0.668970,0.026938,0.007304,0.010226
FedProx/DNN/non-iid/8/mu_0.001,3,0.908771,0.002203,0.665002,0.008026,0.000163,0.000090
FedProx/DNN/non-iid/8/mu_0.01,2,0.911041,0.003595,0.673346,0.013288,0.000162,0.000026
FedRF/RandomForest/iid/12/frac_1.0,3,0.970268,0.000015,0.891428,0.000076,0.000280,0.000007
FedRF/RandomForest/iid/16/frac_1.0,3,0.970238,0.000006,0.891339,0.000024,0.000288,0.000005
FedRF/RandomForest/iid/2/frac_1.0,3,0.970330,0.000017,0.891839,0.000034,0.000348,0.000023
FedRF/RandomForest/iid/20/frac_1.0,3,0.970217,0.000004,0.891254,0.000023,0.000285,0.000013
FedRF/RandomForest/iid/4/frac_1.0,3,0.970325,0.000003,0.891590,0.000045,0.000262,0.000014
FedRF/RandomForest/iid/8/frac_1.0,3,0.970305,0.000005,0.891544,0.000007,0.000272,0.000008
FedRF/RandomForest/non-iid/12/frac_0.4,3,0.967097,0.000481,0.884115,0.003432,0.001903,0.001908
FedRF/RandomForest/non-iid/12/frac_1.0,3,0.967097,0.000481,0.884115,0.003432,0.001903,0.001908
FedRF/RandomForest/non-iid/16/frac_0.4,3,0.963477,0.001771,0.882790,0.004251,0.006380,0.000973
FedRF/RandomForest/non-iid/16/frac_1.0,3,0.963477,0.001771,0.882790,0.004251,0.006380,0.000973
FedRF/RandomForest/non-iid/2/frac_0.4,3,0.966906,0.001382,0.902349,0.005275,0.008978,0.003863
FedRF/RandomForest/non-iid/2/frac_1.0,3,0.966906,0.001382,0.902349,0.005275,0.008978,0.003863
FedRF/RandomForest/non-iid/20/frac_0.4,3,0.966484,0.000483,0.891185,0.007749,0.005386,0.002235
FedRF/RandomForest/non-iid/20/frac_1.0,3,0.966484,0.000483,0.891185,0.007749,0.005386,0.002235
FedRF/RandomForest/non-iid/4/frac_0.4,3,0.955507,0.010749,0.848549,0.036780,0.004536,0.001427
FedRF/RandomForest/non-iid/4/frac_1.0,3,0.955507,0.010749,0.848549,0.036780,0.004536,0.001427
FedRF/RandomForest/non-iid/8/frac_0.4,3,0.968063,0.000695,0.886628,0.002107,0.001515,0.000906
FedRF/RandomForest/non-iid/8/frac_1.0,3,0.968063,0.000695,0.886628,0.002107,0.001515,0.000906
FedXgbBagging/XGBoost/iid/12/frac_1.0,3,0.966104,0.000227,0.888415,0.001193,0.004873,0.000746
FedXgbBagging/XGBoost/iid/16/frac_1.0,3,0.966228,0.000084,0.889478,0.001449,0.005100,0.000645
FedXgbBagging/XGBoost/iid/2/frac_1.0,3,0.935536,0.001405,0.777528,0.000690,0.005436,0.002161
FedXgbBagging/XGBoost/iid/20/frac_1.0,3,0.967256,0.000289,0.894338,0.001222,0.005505,0.000852
